AdverseSummary,Description,DevStatus,DevStatusId,Drugs,Indications,OutcomeSummary,ProtocolTitle,References,TreatmentSummary,TrialId,TrialStatus
null,"<ProtocolDescription><para>Patients will be randomized to receive :<br/>Arm 1: faropenem 600 mg (with amoxicillin/clavulanic acid, 500 mg/125 mg) given ti d for 7 days plus rifampicin 10 mg/kg qd alone for the first 2 days then with standard combination therapy (rifampicin, isoniazid, pyrazinamide, ethambutol, adjusted for body weight) for the following 5 days.<br/>Arm 2:  cefadroxil 600 mg (with amoxicillin/clavulanic acid, 500 mg/125 mg) given ti d for 7 days plus rifampicin 10 mg/kg qd  alone for the first 2 days then with standard combination therapy (rifampicin, isoniazid, pyrazinamide, ethambutol, adjusted for body weight) for the following 5 days.<br/>Arm 3: rifampicin 10 mg/kg qd  alone for the first 2 days then with standard combination therapy (rifampicin, isoniazid, pyrazinamide, ethambutol, adjusted for body weight) for the following 5 days.</para></ProtocolDescription>",Phase 2 Clinical,C2,amoxicillin; cefadroxil; faropenem,Mycobacterium tuberculosis infection,null,Trial of faropenem and cefadroxil (in combination with amoxicillin/clavulanic acid and standard TB drugs) in patients with pulmonary tuberculosis: measurement of early bactericidal activity and effects on novel biomarkers,2018-CT0454; 20180710115454; Faropenem_TB; PHRR181108-001980,null,360329,Not yet recruiting
null,"<ProtocolDescription><para>This would be a study of early bactericidal activity (EBA) in treatment-naive subjects with active      pulmonary tuberculosis. This prospective, randomized, open-label study would compare the      effect of monotherapy with each of four dose levels of <ulink linkType=""Drug"" linkID=""26493"">AZD-5847</ulink> to that of an active control      (Rifafour administered orally once-daily) on the concentration of mycobacterium tuberculosis       (MTB) in expectorated sputum (colony-forming units [CFU] per ml of sputum). Daily quantitative      sputum cultures would be performed during treatment and analyzed by investigators who would be      blinded to the assigned treatment. The duration of therapy would be 14 days in order to      support an assessment of early bactericidal activity (days 0 to 2) anpd sterilizing activity      (days 3 to 14).  The study would utilize a standard design      and would thus support comparison with other marketed and investigational antimycobacterial      agents (Donald and Diacon 2008). The primary aim of the study would be to assess the EBA 0 to 14 of      <ulink linkType=""Drug"" linkID=""26493"">AZD-5847</ulink> at four different doses and schedules in subjects with newly-diagnosed sputum smear      positive pulmonary TB. The secondary aim would be to assess the EBA 0 to 2 and EBA 3 to 14 of <ulink linkType=""Drug"" linkID=""26493"">AZD-5847</ulink> at      four different doses.</para><para>A total of 75 subjects would be      enrolled, with 15 randomized to each <ulink linkType=""Drug"" linkID=""26493"">AZD-5847</ulink> study arm (500 mg qd, 500 mg bid, 1200 mg qd, and 800 mg bid) or standard treatment with Rifafour (75 mg isoniazid/150 mg rifampin/275 mg ethambutol/400 mg pyrazinamide) dosed by body weight for 14 days.</para></ProtocolDescription>",Phase 2a Clinical,C2A,posizolid,Mycobacterium tuberculosis infection,null,Phase IIa EBA Trial of AZD-5847,11-0006; N01AI70022C; NCT01516203,null,84246,Completed
null,"<ProtocolDescription><para>Subjects would receive three doses of the primary vaccination followed by a booster dose after completion of the primary vaccination course. Booster vaccination would be  given only to subjects receiving the candidate tuberculosis vaccines and not to the subjects receiving active comparators or control. In addition, two active comparator groups of subjects would receive the vaccine alone without an immunostimulant and one control group would receive the adjuvant (AS02) alone to assess the true effect of the candidate tuberculosis vaccine (Mtb72F/AS02).</para></ProtocolDescription>",Phase 1 Clinical,C1,"MTB72F vaccine (tuberculosis), GSK/ IAVI",Mycobacterium tuberculosis infection,null,Safety and Immunogenicity of GSK Biological's Candidate Tuberculosis Vaccine Mtb72F/AS02 in Healthy PPD-Negative Adults,102039; NCT00291889,null,9540,Completed
null,<ProtocolDescription><para>Subjects will receive S-004992   [<ulink linkType="Reference" linkID="2018188">2018188</ulink>].</para></ProtocolDescription>,Phase 1 Clinical,C1,S-004992,Mycobacterium tuberculosis infection,null,A phase I trial of S-004992 for the potential treatment of drug-resistant tuberculosis,null,null,334482,Planned
null,"<ProtocolDescription><para>Subjects will be randomized to receive either placebo or PA-824 (50, 100, 200, 400, 600, 800, or 1000 mg, po, qd, on an empty stomach). Each dose group is fasted for at least 10 h overnight before starting the administration, at 8:30 the next morning. The drug will be administered with 240 ml drinking water.</para></ProtocolDescription>",Phase 1 Clinical,C1,pretomanid,Mycobacterium tuberculosis infection,null,Phase I clinical trial of single-dose of PA-824,CTR20181897; LSF-157-SD-P-V1.2,null,362102,No longer recruiting
null,"<ProtocolDescription><para>If      successful, this intervention will be systematically implemented at district hospital level      where children with severe pneumonia will be referred. The impact of this innovative approach will vary with TB incidence as well as some      geographical and seasonal variability that will affect the prevalence and aetiology of      pneumonia in young children. To provide a better basis for the generalizability of results,      the project will take place in six countries with different epidemiological and environmental      backgrounds, in Sub-Saharan Africa (Cameroon, Cote d'Ivoire, Mozambique, Uganda, and Zambia)      and South East Asia (Cambodia). Cambodia, Zambia and Mozambique  among the 30 high TB      burden countries according to WHO classification. All children admitted in the hospital and presenting with WHO-defined severe pneumonia will be immediately managed as part of routine care per the WHO SOC, including broad spectrum antibiotics, oxygen therapy if required, additional supportive care and specific therapies for comorbidities such as HIV infection. 	</para><para>This study consists of two groups:<br/>Group 1: for research purposes, children will benefit from HIV testing, malaria testing, and complete blood count (CBC) if not systematically performed as routine care in the country/hospital, as well as from a digitalized chest X-ray (CXR). Additionally, samples will be collected for future biomarkers studies (biobank).<br/>Group 2: children will benefit from the WHO SOC and additional strategies for research purposes (HIV and malaria testing, CBC, CXR, and biobank) as described in the control arm, plus the study intervention. Study intervention will consist of the rapid detection of TB on the day of hospital admission using the Ultra assay performed on one NPA and one stool sample. The sample flow will be organised to reduce time-to-results to 3 h. Ultra will be performed at the hospital laboratory using a standard GeneXpert device, or implemented directly inward using a one-module, battery-operated GeneXpert device (G1 Edge). Drugs will be available at the inpatient level to enable immediate initiation of TB treatment, as soon as a positive Ultra result is available.</para></ProtocolDescription>",Phase Not Applicable,PNA,null,Mycobacterium tuberculosis infection,null,TB-Speed Pneumonia,C18-26; NCT03831906,null,369403,Recruiting
"<AdverseEvents><para>Safety results  showed that <ulink linkType=""Drug"" linkID=""71323"">Ad5Ag85A</ulink> was safe and well tolerated, with  robust immune response observed in most subjects [<ulink linkType=""Reference"" linkID=""1484339"">1484339</ulink>], [<ulink linkType=""Reference"" linkID=""1484428"">1484428</ulink>].</para></AdverseEvents>",<ProtocolDescription><para>This  trial would be investigating   recombinant genetic TB vaccine AdAg85A given by intramuscular injection in healthy subjects with or without a history of BCG vaccination. The effect of pre-existing adenovirus antibodies on the safety and immunogenicity of the
      recombinant AdTB vaccine  (<ulink linkType="Drug" linkID="71323">Ad5Ag85A</ulink>) would be evaluated and the results of the purified protein derivative (PPD) skin test following
      vaccination would be evaluated in a subset of subjects with a history of a negative PPD skin test.</para><para>Subjects would receive a single im administration of <ulink linkType="Drug" linkID="71323">Ad5Ag85A</ulink> vaccine lower dose (10[8]) or higher dose (10[9] pfu).</para></ProtocolDescription>,Phase 1 Clinical,C1,Ad5Ag85A,Mycobacterium tuberculosis infection,"<Outcomes><para>In October 2013, results were published. Results showed that <ulink linkType=""Drug"" linkID=""71323"">Ad5Ag85A</ulink> was immunogenic in both the groups, but it boosted polyfunctional CD4+ and CD8+ T cell immunity more potently in previously BCG-immunized than BCG-naive volunteers [<ulink linkType=""Reference"" linkID=""1484428"">1484428</ulink>]. </para></Outcomes>",Study of the Safety and Immunogenicity of an Adenovirus-based Tuberculosis Vaccine,NCT00800670; REB 09-001,null,77668,Terminated
null,"<ProtocolDescription><para>In the first period of this study, known as the 6-month Intensive Period, participants were randomized to receive 100 mg bid (morning and evening) + OBR for 2 months, followed by 200 mg delamanid qd (every morning) + OBR for 4 months.<br/>Following the 6-month Intensive Period, participants entered the second period of the study, known as the Continuation Period, wherein OBR was administered alone for 12 to 18 months.<br/>OBR given throughout the study was administered as per WHO guidelines and national treatment norms</para></ProtocolDescription>",Phase 3 Clinical,C3,delamanid,Mycobacterium tuberculosis infection,"<Outcomes><para>In January 2018, results were presented. Faster sputum culture conversion over 6 months was achieved in patients when delamanid was added to a WHO-recommended optimized background regimen (OBR) compared with  placebo plus OBR [<ulink linkType=""Reference"" linkID=""2000746"">2000746</ulink>].</para></Outcomes>",Safety and Efficacy Trial of Delamanid for 6 Months in Participants With Multidrug Resistant Tuberculosis,2010-022271-59; 242-09-213; NCT01424670,<Regimens><para>Patients received  delamanid plus a WHO-recommended optimized background regimen (OBR) or  with  placebo plus OBR [<ulink linkType="Reference" linkID="2000746">2000746</ulink>].</para></Regimens>,80386,Completed
null,"<ProtocolDescription><para>Subjects from all  three cohorts (TB-treated, TB-treatment  and TB-naive) of the study  would be randomized to receive intramuscular injections of  two doses of either <ulink linkType=""Drug"" linkID=""9490"">GSK-692342</ulink> or placebo at 0, 1 months.</para></ProtocolDescription>",Phase 2 Clinical,C2,"MTB72F vaccine (tuberculosis), GSK/ IAVI",Mycobacterium tuberculosis infection,null,Safety and Immunogenicity of a Candidate Tuberculosis (TB) Vaccine in Adults With Tuberculosis (TB) Disease,114886; NCT01424501,null,80383,Terminated
null,"<ProtocolDescription><para>This study is a dose-escalation trial, and participants will be sequentially enrolled into      four study arms. Participants will receive standard anti-TB therapy (Rifafour) and      pravastatin daily for 14 days. Pravastatin will be given alone on day 1, and pravastatin +      rifafour (isoniazid, rifampin, pyrazinamide, and ethambutol)  will be given on days 2 to 15.</para><para>Total study duration for participants will be 30 days, during which time participants will      attend several study visits. Study visits may include sputum specimen collection, blood and      urine collection, lung function testing, and pharmacokinetic assessments. All study      participants will be referred appropriately to continue standard TB treatment at study      completion.</para><para>The study will be divided into four experimental arms:<br/>Arm 1: participants will receive  pravastatin (80 mg) and Rifafour daily for 14 days. <br/>Arm 2: participants will receive  pravastatin (120 mg) and Rifafour daily for 14 days. (Arm 2 will only be recruited if pravastatin 80 mg is well tolerated and safe, yet drug exposures are significantly reduced due to the known interaction with rifampin.)<br/>Arm 3: participants will receive  pravastatin (160 mg) and Rifafour daily for 14 days. (Arm 3 will only be recruited if pravastatin 120 mg is well tolerated and safe, yet drug exposures are significantly reduced due to the known interaction with rifampin.)<br/>Arm 4: participants will receive pravastatin (40 mg) and Rifafour daily for 14 days. (Arm 4 will only be recruited if pravastatin 80 mg is not tolerated as specified in the protocol.)</para><para>Pravastatin will be given alone on day 1, and pravastatin + Rifafour will be given on days 2 to 15.Vitamin B6 will be added to each of the regimens for HIV-positive participants.</para></ProtocolDescription>",Phase 2b Clinical,C2B,pravastatin,Mycobacterium tuberculosis infection,null,Statin Adjunctive Therapy for TB: A Phase IIb Dose-finding Study of Pravastatin in Adults With Tuberculosis,38558; NCT03882177; Stat-TB,null,374083,Not yet recruiting
null,null,Phase 2b Clinical,C2B,delpazolid,Mycobacterium tuberculosis infection,null,A clinical trial of RMX-2001 in multidrug-resistant tuberculosis (MDR-TB) in USA,null,null,370698,Planned
null,"<ProtocolDescription><para>The target number of patients will be 100 active TB and 100 active TB excluded . This study will      enroll up to 235 patients (assumes 15% exclusion/drop-out rate).<br/>Study duration will be 6 months. All patients enrolled in this study will be men or women, aged >/= 18 years.</para><para>Study arms will be:<br/>Arm 1: patients will undergo T-SPOT.TB test using density gradient isolation (Leucosep). For each patient recruited in the study, cells will be isolated using Leucosep tubes and T-Cell Xtend reagent according to package insert. For each patient recruited in the study, the T-SPOT.TB assay will be run according to the assay package insert.<br/>Arm 2: patients will undergo  the QuantiFERON-TB Gold Plus (QFT-Plus) assay which will be run according to the assay package insert.</para></ProtocolDescription>",Phase Not Applicable,PNA,null,Mycobacterium tuberculosis infection,null,Assessing the Ability of the T-SPOT. TB Test,AF SA 148; IQ; NCT03929705,null,378664,Recruiting
null,"<ProtocolDescription><para>The study will be      conducted in two parts. <br/>Part A will enroll subjects from Groups 1A and 2 (ie. 6 healthy      matched controls and 6 subjects with ESRD, not on dialysis). A decision to enroll subjects      into Part B (ie. to investigate mild, moderate and severe renal impairment) will be      conducted after the pharmacokinetics (PK) and safety of subjects enrolled in Part A have been      reviewed. Part B will be conducted if the results of Part A demonstrate that patients with      ESRD, not on dialysis have different exposures to pretomanid that may impact safety or      efficacy relative to the exposures of healthy subjects. If the decision is taken to conduct      Part B, 6 subjects each with mild, moderate and severe renal impairment (Groups 3, 4, 5) will      be enrolled together with additional healthy matched subjects (Groups 1B-1D). Part B,      treatment Groups 3, 4, and 5 will be initiated concurrently when each subject in Groups 1A      and 2 has completed Part A of the study. </para><para>The study will be divided into two experiemantal arms:<br/>Arm 1: a total of  6 healthy subjects with normal estimated Glomerular Filtration Rate (eGFR &gt; / = 90 ml/min/1.73 m2) matched to group 2 by race, gender, age (+/- 10 years, but between 18 to 70 years of age) and BMI at dosing (+/- 20% of BMI, but between 18 and 35 kg/m2) will receive a single oral dose of 200 mg pretomanid.<br/>Arm 2: a total of  6 subjects with End Stage Renal Disease (ESRD) not on dialysis: stage 5, Modification of Diet in Renal Disease (MDRD) with estimated Glomerular Filtration Rate (eGFR &lt; 15 ml/min/1.73 m2) matched to group 1A will receive a single oral dose of 200 mg pretomanid.<br/>Arm 3: a total of  6 healthy subjects with normal eGFR of &gt; / = 90 ml/min/1.73 m2 matched to group 3 by race, gender, age (+/- 10 years, but between 18 to 70 years of age) and BMI at dosing (+/- 20% of BMI, but between 18 and 35 kg/m2) will receive a single oral dose of 200 mg pretomanid after the PK and safety of subjects enrolled in Part A have been reviewed.<br/>Arm 4: a total of 6 healthy subjects with normal eGFR &gt; / = 90 ml/min/1.73 m2 matched to group 4 by race, gender, age (+/- 10 years, but between 18 to 70 years of age) and BMI at dosing (+/- 20% of BMI, but between 18 and 35 kg/m2) will receive a single oral dose of 200 mg pretomanid after the PK and safety of subjects enrolled in Part A have been reviewed.<br/>Arm 5: a total of  6 healthy subjects with normal eGFR &gt; / = 90 ml/min/1.73 m2 matched to group 5 by race, gender, age (+/- 10 years, but between 18 to 70 years of age) and BMI at dosing (+/- 20% of BMI, but between 18 and 35 kg/m2) will receive a single oral dose of 200 mg pretomanid after the PK and safety of subjects enrolled in Part A have been reviewed.<br/>Arm 6: a total of 6 subjects with mild renal impairment: Stage 2, MDRD (eGFR 60 to 89 ml/min/1.73 m2) matched to group 1B will receive a single oral dose of 200 mg pretomanid after the PK and safety of subjects enrolled in Part A have been reviewed.<br/>Arm 7: a total of 6 subjects with moderate renal impairment: Stage 3, MDRD (eGFR = 30 to 59 ml/min/1.73 m2) matched to group 1C will receive a single oral dose of 200 mg pretomanid after the PK and safety of subjects enrolled in Part A have been reviewed.<br/>Arm 8: a total of 6 subjects with severe renal impairment: Stage 4, MDRD (eGFR = 15 to 29 ml/min/1.73 m2) matched to group 1D will receive a single oral dose of 200 mg pretomanid after the PK and safety of subjects enrolled in Part A have been reviewed.</para></ProtocolDescription>",Phase 1 Clinical,C1,pretomanid,Mycobacterium tuberculosis infection,null,Single-Dose Study to Evaluate the PKs of Pretomanid in Subjects With Renal Impairment Compared to Subjects With Normal Renal Function,15-0037; HHSN272201300021I; NCT03896750,null,375406,Not yet recruiting
null,"<ProtocolDescription><para>All subjects will undergo immunological, molecular, metabolomic and radiolological diagnostic techniques.<br/>Active TB suspicion: this study will include both adults and children with suspicion of different degrees of severity of active TB (pulmonary and extrapulmonary) to bring the investigator's study population into line with the routine clinical practice and to avoid the spectrum bias.<br/>Latent TB infection: individuals with latent TB infection (adults and children), with positive TST and/or IGRAs; without any sign or radiological evidence of TB disease or any clinical picture compatible with the criteria defined in the section TB cases.<br/>NTM infection: adult and pediatric subjects with lymphadenopathies caused by NTMs or individuals with chronic respiratory diseases with a NTM microbiologically confirmed by culture isolation.<br/>Uninfected control: both adult and children without active TB and no immunologic evidence of M. tuberculosis infection, with negative TST and/or IGRAs.<br/>Other respiratory diseases: subjects with ARIs, and subjects with lung cancer; without any clinical picture compatible with the criteria defined in TB cases section. Subjects with ARIs will be identified as individuals with clinical signs, symptoms and radiology of respiratory infections, and microbiological confirmation of non-TB origin. Subjects with lung cancer will be identified as those with a high clinical suspicion, a suggestive chest X-ray/computed tomography scan, and a confirmed histopathological/cytological diagnosis.</para></ProtocolDescription>",Phase Not Applicable,PNA,null,Mycobacterium tuberculosis infection; Respiratory disease,null,Innovation in Tuberculosis,823854; INNOVA4TB; NCT04002869,null,386778,Recruiting
null,"<ProtocolDescription><para>In this factorial, case-series study, patients with tuberculosis (including drug resistance), tuberculous pleurisy and tuberculous meningitis will be observed for the role of PD-1 and glucocorticoid receptor in the pathogenesis of tuberculosis.</para></ProtocolDescription>",Phase Not Applicable,PNA,null,Bacterial meningitis; Mycobacterium tuberculosis infection; Pleurisy,null,The Expression of Glucocorticoid Receptor and PD1 Receptor in Peripheral Blood of Tuberculosis Patients,ChiCTR1900022947,null,379316,Recruiting
null,"<ProtocolDescription><para>In this sequential, observational study, patients  undergoing posterior percutaneous pedicle internal (screw) fixation combined with total endoscopic lesion removal (debridement) and bone graft fusion for spinal tuberculosis will be observed.</para><para>Patients  (n = 290) undergoing microinvasive surgery will be observed.</para></ProtocolDescription>",Phase Not Applicable,PNA,null,Mycobacterium tuberculosis infection,null,Clinical Observation for Posterior Percutaneous Pedicle Screw Fixation Combined with Total Endoscopic Debridement and Bone Grafting for Spinal Tuberculosis,ChiCTR1900022949,null,379323,Recruiting
null,null,Phase 1 Clinical,C1,levofloxacin,Mycobacterium tuberculosis infection,"<Outcomes><para>In April 2019, results were published. Out of 24, only 9 children (37.5%) achieved adequate drug exposure. Target serum drug concentration was achieved in 4/15 (26.7%) children dosed consistently with World Health Organization recommendations and 4/5 (80.0%) who received higher-than-recommended doses [<ulink linkType=""Reference"" linkID=""2151111"">2151111</ulink>].</para></Outcomes>",A study to evaluate the pharmacokinetics of levofloxacin in children who received levofloxacin-based tuberculosis preventive therapy,null,<Regimens><para>Children received levofloxacin  [<ulink linkType="Reference" linkID="2151111">2151111</ulink>].</para></Regimens>,380303,Status not specified
"<AdverseEvents><para>In July 2015, results were published. Similar proportion of subjects discontinued the treatment (2.0, 2.0, and 8.3% in rifapentine, 450, 600 mg, and rifampicin groups, respectively) and similar grade >/= 3 adverse events were reported (0, 2.0 and 8.3% of subjects, respectively, in in rifapentine, 450, 600 mg, and rifampicin groups) [<ulink linkType=""Reference"" linkID=""1702237"">1702237</ulink>].</para></AdverseEvents>","<ProtocolDescription><para>This was a prospective, phase II, open-label, single-center study in which each experimental <ulink linkType=""Drug"" linkID=""15102"">rifapentine</ulink>      regimen was evaluated using a two-stage design.  Adults (HIV-negative, or HIV-positive with      CD4 &gt; 200 cells/cu mm) suspected to have pulmonary tuberculosis who meet eligibility criteria      would be randomized to receive one of three intensive phase regimens.  Intensive phase      regimens would consist of once daily isoniazid, pyrazinamide, and ethambutol, plus one of the      following: rifampin (600 mg qd), <ulink linkType=""Drug"" linkID=""15102"">rifapentine</ulink> (450 mg qd) or <ulink linkType=""Drug"" linkID=""15102"">rifapentine</ulink> (600 mg      qd).  Randomization would be stratified by presence/absence of cavitation on baseline      chest radiograph.  In stage 1, 15 subjects would be randomized to each arm, following which      there would be an enrollment pause for efficacy and safety assessment.  Any <ulink linkType=""Drug"" linkID=""15102"">rifapentine</ulink>      regimen for which fewer than 6 of 11 evaluable subjects have week 8 culture conversion      would be discarded.In stage 2, subjects would be randomized into the remaining 'accepted arms' with a maximum of 36      additional subjects per arm.All subjects would continue TB treatment with a conventional continuation phase treatment.</para><para>Study site study: subjects would be recruited from the University of Cape Town inpatient wards      and outpatient clinics.<br/>Estimated study duration: it was estimated that 18 months would be required for recruitment and      enrollment of study subjects.  The estimated duration of participation for each study subject      was 18 months, including 2 months of experimental intensive phase TB treatment, 4 months of      non-experimental conventional continuation phase TB treatment, and an additional 12 months      for follow-up for TB relapse.<br/>Study management study: subjects would have study visits on days 0, 7, 14, 21, 28, 35, 42, 49,      and 56 for sputum collection and adverse event assessment.  Safety laboratory monitoring would      be performed on days 14, 28, 42, and 56 and would consist of complete blood count, serum      alanine aminotransferase, serum total bilirubin, and serum creatinine.  Steady state      pharmacokinetic analysis would be performed on approximately day 28.   Subjects would have      additional study visits at week 10 and at months 4, 6, 12, and 18. </para></ProtocolDescription>",Phase 2 Clinical,C2,rifapentine,Mycobacterium tuberculosis infection,"<Outcomes><para>In July 2015, results were published. The Löwenstein-Jensen conversion occurred in 85, 96, and 94% of patients at completion of 8 weeks in the rifapentine, 450, 600 mg, and rifampicin groups, respectively [<ulink linkType=""Reference"" linkID=""1702237"">1702237</ulink>].</para><para>In March 2019, pooled results of two studies (<ulink linkType=""Protocol"" linkID=""153990"">ISRCTN44153044</ulink> and NCT00814671) were published. The aim of this analysis was to evaluate the effects of functionally significant polymorphisms of the genes encoding OATP1B1, the pregnane X receptor (PXR), constitutive androstane (CAR), and arylacetamide deacetylase (AADAC) on rifapentine exposure among southern African subjects with drug-susceptible pulmonary tuberculosis. The values of clearance and volume of distribution were 1.33 l/h and 25 l, respectively, in a typical subject (body weight, 56 kg; fat-free mass, 45 kg). Subjects carrying the AA variant (65.4%) of AADAC rs1803155 were found to have a 10.4% lower clearance. Lower bioavailability was observed in HIV- infected subjects (21.9%). There was an association between the qw doses of 1200 mg with a reduced clearance (13.2%), when compared to that achieved with more frequently administered doses. When compared to RIFAQUIN study, bioavailability was 23.3% lower among subjects participating in the daily RPE study [<ulink linkType=""Reference"" linkID=""2140067"">2140067</ulink>].</para><para> </para></Outcomes>",Study of Daily Rifapentine for Pulmonary Tuberculosis,3524; NA_00019095; NCT00814671,"<Regimens><para>Subjects randomly received rifapentine, 450 or 600 mg, and rifampicin 600 mg daily, daily for 8 weeks in combination with with isoniazid, pyrazinamide and ethambutol [<ulink linkType=""Reference"" linkID=""1702237"">1702237</ulink>], [<ulink linkType=""Reference"" linkID=""2140067"">2140067</ulink>].</para></Regimens>",39550,Completed
null,<ProtocolDescription><para>Patients with active tuberulosis treated with antituberculous drug including rifampicin and isoniazid in Fukushima Medical University would be included in the study [<ulink linkType="Reference" linkID="1404520">1404520</ulink>]. </para></ProtocolDescription>,Phase Not Applicable,PNA,null,Mycobacterium tuberculosis infection,null,Investigation of Serum Level of Antituberculous and Genetic Polymorphism in NAT2 Gene in Patient With Pulmonary Tuberculosis,JPRN-UMIN000006664,null,121297,Recruiting
