AdverseSummary,Description,DevStatus,DevStatusId,Drugs,Indications,OutcomeSummary,ProtocolTitle,References,TreatmentSummary,TrialId,TrialStatus
"<AdverseEvents><para>In August 2018, results were published. Within 43 days post-priorix, two cases of febrile convulsions (one considered vaccination-related) were reported. Rashes were reported for 24.4% (priorix) and 27.4% (M-M-R II) of children; measles/rubella-like rashes for 5.8 and 4.7%, respectively, during days 0 to 42. During 5 to 12 days post-vaccination, measles-like illnesses were reported for 1.5% (priorix) and 0.9% (M-M-R II) of children. Following M-M-R II vaccination, one serious adverse event, immune thrombocytopenic purpura, was considered vaccination-related [<ulink linkType=""Reference"" linkID=""2121706"">2121706</ulink>].</para></AdverseEvents>","<ProtocolDescription><para>This study would evaluate the safety of <ulink linkType=""Company"" linkID=""24166"">GlaxoSmithKline  Biologicals</ulink> Priorix vaccine at a potency that will be used to define maximum release limits for the Priorix in      comparison to the US standard of care M-M-R II  vaccine. In order to obtain more representative data on the comparator vaccine, the M-M-R II  vaccine used in this study would consist of two lots designated <ulink linkType=""Drug"" linkID=""89684""/>M-M-R II  vaccine-L1 and M-M-R II  vaccine-L2. Throughout      the study lots would be analyzed as pooled lots. </para><para>All children would be randomized into two arms:<br/>Arm A:  Priorix containing      vaccine (one dose  sc in the tricep region of left arm)  +   Varivax  (one dose  sc in the tricep region of right arm) + Havrix (one dose intramuscularly in the anterolateral region of the right thigh) vaccines  +    <ulink linkType=""Drug"" linkID=""34281""/>PCV-13 (one dose intramuscularly in the anterolateral region of the left thigh would be administered only to US children).<br/>Arm B:  <ulink linkType=""Drug"" linkID=""89684""/>M-M-R II   L1 or L2 +  Varivax (one dose  sc in the tricep region of right arm) and Havrix (one dose intramuscularly in the anterolateral region of the right thigh) vaccines +   <ulink linkType=""Drug"" linkID=""34281""/> PCV-13  (one dose intramuscularly in the anterolateral region of the left thigh would be administered only to US children).<br/><br/>At      the end of the study, <ulink linkType=""Company"" linkID=""24166"">GlaxoSmithKline  Biologicals</ulink> would provide a second dose of Havrix and/or varicella vaccine to      children enrolled in selected non-US countries, if local health departments would not      routinely provide hepatitis A and varicella vaccination. The second dose of Havrix and      varicella vaccine was not part of the study procedures.</para></ProtocolDescription>",Phase 3a Clinical,C3A,Havrix; M-M-R II; Prevnar 13; Priorix; varicella-zoster vaccine (Varivax/Zostavax),Measles virus infection; Mumps virus infection; Rubella virus infection,"<Outcomes><para>In August 2018, results were published. Followed by priorix and  M-M-R II vaccination, the incidence of fever 5 to 12 days post-vaccination was comparable 4.2 versus 3.1% (difference: 1.1%) for fever > 39.0 degC and 18.2 versus 17.1% (difference: 1.1%) for fever >/= 38.0 degC, which met the primary objective. In both groups, immune responses were similar [<ulink linkType=""Reference"" linkID=""2121706"">2121706</ulink>].</para></Outcomes>","Safety and Immunogenicity Study of GlaxoSmithKline (GSK) Biologicals Measles, Mumps and Rubella (MMR) Vaccine (209762) Compared to Merck and Co, Inc's MMR Vaccine in Healthy Children 12 to 15 Months of Age",115650; 2011-006161-18; MMR-162; NCT02184572,"<Regimens><para>Patients received priorix (n = 1164) or MMR II (n = 572) both  as first doses with varicella (Varivax), hepatitis A (Havrix), and pneumococcal conjugate vaccines (Prevnar 13) at 12 to 15 months of age [<ulink linkType=""Reference"" linkID=""2121706"">2121706</ulink>].</para></Regimens>",203343,Completed
"<AdverseEvents><para>In August 2016, results were published. Mostly mild-to-moderate vaccine-related AEs were observed and somewhat more common after MMRV (AMP). Both groups had similar rates of febrile seizures during the first 42 d after each vaccine dose [<ulink linkType=""Reference"" linkID=""1887450"">1887450</ulink>].</para></AdverseEvents>","<ProtocolDescription><para>Participants would receive either sc <ulink linkType=""Drug"" linkID=""3643"">MMRV</ulink> made with an alternative manufacturing process (AMP) (3.00 log10 CCID50 of measles, 4.30 log10 CCID50 of mumps, 3.00 log10 CCID50 of rubella and 3.99 log10 PFU of varicella) or MMRV (2006 manufacturing process) sc <ulink linkType=""Drug"" linkID=""47279"">ProQuad</ulink> two 0.5 ml sc injections (3.00 log10 CCID50 of measles).</para></ProtocolDescription>",Phase 3 Clinical,C3,M-M-R II; ProQuad,Measles virus infection; Mumps virus infection; Rubella virus infection; Varicella zoster virus infection,"<Outcomes><para>In August 2016, results were published. The risk difference in response rates and geometric mean concentrations of antibody to rubella, measles, mumps and varicella viruses 6 weeks after Dose-1 met non-inferiority criteria for MMRV (AMP) versus, MMRV. Response rates met acceptability criteria for each virus, and the seroconversion rate to varicella-zoster virus was 99.5% in both groups [<ulink linkType=""Reference"" linkID=""1887450"">1887450</ulink>].</para></Outcomes>","Safety, Tolerability, and Immunogenicity of Measles, Mumps, Rubella, and Varicella (MMRV) Vaccine Made With an Alternative Manufacturing Process (AMP)",2017-001443-13; NCT01536405; P20930; V221-027,"<Regimens><para>Participants randomly (1 : 1) received MMRV manufactured using an alternative process (MMRV [AMP]) or the currently licensed MMRV, 0.5 ml doses 3 months apart [<ulink linkType=""Reference"" linkID=""1887450"">1887450</ulink>].</para></Regimens>",184151,Completed
null,"<ProtocolDescription><para>This study would investigate in detail the immunological consequences of giving DTP or MV      alone or at the same time. The study will involve an intervention trial to analyze the      effect of giving DTP with MV on the generation of T cell memory (effector and central),      humoral responses, pro-inflammatory cytokine profile (Th1, Th2, Th17) and Treg responses to      measles and recall antigens.</para><para>All infants would be given a MV challenge at 18 months of age and immunological parameters      would be analysed 1 month later. This will establish whether any vaccine group effects at 10      months off age persist until 18 months of age and influence the immune response to a new      immune challenge. This study would include three rams.<br/>Arm 1: all vaccines would be given as per normal Gambia schedule until 9 months of age, including third dose of diphtheria-tetanus-whole cell pertussis (DTP3), hepatitis B vaccine (HBV) and oral polio vaccine (OPV) at 4 months of age. At 9 months of age subjects would be given a single standard intramuscular (im) dose of measles vaccine (MV) (Edmonston Zagreb strain, Serum Institute of India Ltd., Pune, India) into the deltoid. Yellow fever vaccine (YF) and OPV would be administered at 11 months of age and  standard MV challenge at 18 months of age.<br/>Arm 2: DTP3 dose would be withheld and given HBV and OPV at 4 months of age. At 9 months of age subjects would be given  a single standard intramuscular (im) dose of measles vaccine (MV) (Edmonston Zagreb strain, Serum Institute of India Ltd., Pune, India) into the deltoid, and im DTP (Serum Institute of India Ltd) in the thigh. Yellow fever vaccine (YF) and OPV would be administered at 11 months of age and   standard MV challenge at 18 months of age.<br/>Arm 3:  DTP3 dose would be withheld and given HBV and OPV at 4 months of age. At 9 months of age given im DTP (Serum Institute of India Ltd) in the thigh. MV, OPV and YF would be administered at 11 months of age and     a standard MV challenge at 18 months of age.</para></ProtocolDescription>",Phase 2 Clinical,C2,null,Clostridium tetani infection; Corynebacterium diphtheriae infection; Measles virus infection,null,The Interaction Between Measles and DTP Vaccination,NCT02710045; SCC 1085,null,255851,Completed
null,"<ProtocolDescription><para>This study has two design components: prospective enrollment of a cohort of term infants at birth; and 3 monthly follow-up at the ages of 3, 6, 9 and 12 months.</para><para>Randomization at 6 months of age to three intervention groups viz measles vaccination at 9 months of age (as per current practice), vaccination at 7.5 and 9 months of age, and vaccination at 6 and 9 months of age.  Live attenuated measles vaccine of brands currently being used  in National Immunization Schedule of India will be used.</para><para>Enrollment: pregnant women awaiting delivery in the Department of Obstetrics and Gynecology will be screened for eligibility (as per the inclusion and exclusion criteria). Women whose infants will be likely to be eligible for participation in the study will be explained about the nature and purpose of the study prior to delivery. They will be informed about the study protocol and invited to participate. After delivery, mothers and their respective newborn babies, will be enrolled with written, informed consent. </para><para>Procedure: a brief interview will be conducted to determine history of exanthematous illness suffered in the past by the mother, family history of similar illness and vaccinations received by her. </para><para>At delivery, approximately 1 ml of cord blood from the infant's side will be collected in a sterile plastic screw-capped container, labeled and transported to the laboratory. Similarly 1 ml of venous blood will be obtained from the mother in a sterile plastic screw-capped container, labeled and transported to the laboratory. Serum will be separated from these samples by centrifugation and deep frozen at minus 20degC until analysis.</para><para>The infants will be followed-up and will undergo venipuncture under aseptic precautions to withdraw 0.8 to 1.0 ml blood at five further visits viz. 3 months +/- 2 weeks (corresponding to a visit for second/third dose of diphtheria- pertussis- tetanus [DPT] vaccine and live oral poliovirus vaccine [OPV]), 6 months +/- 2 weeks (corresponding to visit for third dose of Hepatitis B at 6 months of age), 7.5 months +/- 2 weeks, at 9 months +/- 2 weeks (corresponding to visit for measles vaccine as per the current schedule), and at 12 +/- 2 weeks months of age (corresponding to visit for routine follow-up).</para><para>During the follow-up visit at 6 months of age, infants will be randomized to one of three groups viz:<br/>Group A: vaccination at 6 and 9 months of age.<br/>Group B: vaccination at 7.5 and 9 months of age.<br/>Group C: vaccination at 9 months of age (current practice).</para><para>Generation of random sequence: a computer program will be used to generate a random number sequence to allocate participants into three groups in a ratio of 1 : 1 : 1, as per the groups described above. </para><para>Allocation concealment: the allocation of each infant will be placed in sealed, opaque envelopes. For each infant presenting at 6 months of age, one envelope will be marked with the infant's name and then opened. At this stage, the sealed envelopes will contain one of two options viz  vaccination at 6 months or no vaccination at 6 months. Those who receive the former will follow the protocol for group A described below. Those who receive the latter will be followed-up at 7.5 months of age; at which stage a second set of sealed enveloped will be accessed. One envelope will be marked with the infant's name and then opened. At this stage, the sealed envelopes will contain one of two options viz vaccination at 7.5 months or vaccination at 9 months. Those who receive the former will follow the protocol for group B described below; and those who receive the latter will follow the protocol for group C described below.</para><para>Blinding: in this randomized trial design, no attempt will be made to blind the infants being randomized, or their parents (in order to avoid unnecessary injections through a double-dummy design). The investigator involved in randomizing the infants will also not be blinded. However, the laboratory personnel performing the antibody level measurements will be blinded by sending the samples with only a four digit code that does not reveal the intervention received. Samples during any visit will be withdrawn prior to administration of vaccine(s). Measles vaccine will be administered as per the protocol described above by trained personnel in the Immunization room of the Advanced Pediatrics Center. A standard dose of the available preparation will be administered in the dosage of 0.5 ml through the subcutaneous route. Standard post-vaccination precaution viz observation of the infant for 30 min after vaccination will be done to observe for any adverse event.</para><para>Clinical protocol: at each visit, history will be elicited to detect clinical features compatible with measles in the baby or any other member of the family in the household contact. This includes:<br/>Any person in whom a clinician suspects measles infection, or any person with fever and maculopapular rash (ie, non-vesicular) and cough, coryza (ie, runny nose) or conjunctivitis (ie, red eyes).</para><para>In addition, the investigator will make a monthly telephone call to the family of enrolled infants asking for specific history compatible with the World Health Organization (WHO) case definition for measles, in the infant or any household member. In case such history will be elicited, the infant and affected individual will be invited for clinical examination and a sample of blood will be obtained. Serum will be separated as described and immunoglobulin M (IgM) anti-measles antibody will be measured using commercially available ELISA kits as described below. </para><para>After each vaccination, parents of vaccinated infants will be requested to complete a diary for 3 days, containing a daily record of  excessive crying, poor feeding, fever, redness at injection site, swelling at injection site, tenderness/apparent pain at injection site, and any other unusual behavior/appearance in the infant. Laboratory processing:  clotted blood samples will be centrifuged at 3000 rpm for 15 min to obtain serum which will be frozen at -20degC till tested. Serum will be processed in batches of 30 to 40 and measles specific IgG antibodies will be quantified by micro-ELISA (enzyme linked immunosorbent assay) using commercially available quantitative measles IgG kits of high sensitivity (98 to 100%) and specificity (100%). IgM antibody assay will be done to confirm the diagnosis of measles only in those infants suspected to have measles; using commercially available quantitative measles IgG kits of high sensitivity (98 to 100%) and specificity (100%). Sera from  participants , calibrators, positive and negative controls will be diluted in serum diluents and test will be performed as recommended by the manufacturers. The obtained optical density value for each sample will be converted into measles antibody titer in units/ml with help of calibrator values in a standard log graph paper and  these units/ml will then be interpreted as International Units/ml taking the recommendation in the kit.</para></ProtocolDescription>",Phase 1 Clinical,C1,null,Measles virus infection,null,"Randomized, Controlled Trial of Measles Vaccination Schedule",LM/PED/01; NCT03170765,null,300510,Recruiting
null,"<ProtocolDescription><para>Subjects will receive live attenuated (freeze-dried) Measles-Rubella (MR) vaccine 0.5 ml per dose to be administered subcutaneously on day 0. The safety of this investigational vaccine will be assessed 30 days post single-dose administration. There will be a total of four study visits (baseline, 0, 7 and 30th day).  Optimal quantity of venous blood sample approximately 5 ml for routine laboratory tests (hematology and biochemistry) will be drawn twice during the study period, once at screening (visit-1) and again 30 days (Visit-4) after the single-dose. Vital signs will be recorded at all specified visits.</para></ProtocolDescription>",Phase 1 Clinical,C1,MRBEV,Measles virus infection; Rubella virus infection,null,A phase-I study to evaluate the safety and tolerability of Measles Rubella(MR) vaccine in 4 to 5 years old healthy children in a single-dose schedule,BECT032/MRV-PI/CTP-02; CTRI/2015/11/006375,null,246741,Not yet recruiting
null,<ProtocolDescription><para>This study will consist of two arms:<br/>Arm 1: participants will receive  one dose of CD-JEV vaccine and one dose of MMR vaccine concurrently at day 0;. Participants will also receive a second dose of MMR per the routine immunization schedule at day 84 (12 months of age).<br/>Arm 2: participants will receive one dose of MMR vaccine at day 0 and one dose of CD-JEV 56 days later. Participants  will receive a second dose of MMR per the routine immunization schedule at day 84 (12 months of age).</para></ProtocolDescription>,Phase 4 Clinical,C4,Priorix; SA-14-14-2,Japanese encephalitis virus infection; Measles virus infection; Mumps virus infection; Rubella virus infection,null,Immunogenicity and Safety of Japanese Encephalitis Vaccine When Given With Measles-Mumps-Rubella Vaccine,JEV06 (862058-1); NCT02880865,null,269874,Recruiting
null,"<ProtocolDescription><para>One-third of children would receive both yellow fever and measles,      mumps, and rubella (MMR) vaccines on the same day (Day 0); one- third of children would receive MMR      vaccine at enrollment (Day 0) followed by yellow fever vaccine on Day 28; one-third of children      would receive yellow fever vaccine  at enrollment (Day 0) followed by MMR vaccine on Day 28.</para></ProtocolDescription>",Phase 4 Clinical,C4,null,Measles virus infection; Mumps virus infection; Rubella virus infection; Yellow fever virus infection,null,"Immunogenicity of Co-administered Yellow Fever and Measles, Mumps, and Rubella (MMR) Vaccines",NCT03368495; PAHO-2014-07-0011,null,322210,Completed
null,"<ProtocolDescription><para>Patients with chronic inflammatory bowel disease, autoimmune hepatitis and after liver transplantation being in steady state of there disease and having the indication of MMR vaccination due to insufficient protection against measles, mumps, and in female also rubella will be included and observed in this study.<br/>This is an observational study of live vaccination with the MMR vaccine <ulink linkType=""Drug"" linkID=""11457"">Priorix</ulink> in children and adolescent receiving immunosuppressive therapy due to inflammatory bowel disease, autoimmune hepatitis and after liver transplantation. Patients lacking protection against MMR by vaccination or previous infection are checked for sufficient immune reactivity by a immunological checklist who demonstrate an adequate immune reaction on several simple tests. Safety and effectiveness is documented in those who displayed an adequate immune response. Therefore sero-conversion is measured by the increment of specific antibody formation. Side effects are documented and also influence on the disease activity. Patients will receive vaccinations with MMR vaccine Priorix with documentation of side effects by questionaires and assessment of effectivity by increment of specific antibodies.</para></ProtocolDescription>",Phase Not Applicable,PNA,Priorix,Measles virus infection; Mumps virus infection; Rubella virus infection,null,"Observational study on measles, mumps, and rubella vaccinations in children suffering from inflammatory bowel disease, autoimmune hepatitis or liver transplantation",248/17; DRKS00014569; MuMaRIS; U1111-1211-7269,null,348473,Not yet recruiting
null,"<ProtocolDescription><para>Subjects would be administered quadrivalent <ulink linkType=""Drug"" linkID=""30177"">Menactra</ulink> 0.5 ml im at 9 months of age and then <ulink linkType=""Drug"" linkID=""30177"">Menactra</ulink> concomitantly with the measles-mumps-rubella vaccine (MMRV, <ulink linkType=""Drug"" linkID=""47279"">ProQuad</ulink>), <ulink linkType=""Drug"" linkID=""4144"">PCV7</ulink> and a hepatitis A  vaccine (HepA) at 12 months of age. In the control group, 12-month-olds would be administered only MMRV, <ulink linkType=""Drug"" linkID=""4144"">PCV7</ulink> and HepA [<ulink linkType=""Reference"" linkID=""1053597"">1053597</ulink>].</para></ProtocolDescription>",Phase 3 Clinical,C3,Menactra; Prevnar; ProQuad,Hepatitis A virus infection; Measles virus infection; Mumps virus infection; Neisseria meningitidis infection; Rubella virus infection; Streptococcus pneumoniae infection; Varicella zoster virus infection,"<Outcomes><para>In November 2009, data showed that the vaccine was well tolerated and   most of the  side effects in the study were  minor and short term including injection site pain, redness, swelling and irritability [<ulink linkType=""Reference"" linkID=""1053597"">1053597</ulink>].</para></Outcomes>",Study of the Safety of Menactra Vaccine When Administered With Other Pediatric Vaccines to Healthy Toddlers,MTA48; NCT00483574,null,9965,Completed
"<AdverseEvents><para>In February 2019, results were published.  MMR-RIT and MMR II demonstrated similar reactogenicity profiles; the most frequent solicited adverse events across vaccine groups and sub-cohorts were local pain and fever  [<ulink linkType=""Reference"" linkID=""2153795"">2153795</ulink>].</para></AdverseEvents>",<ProtocolDescription><para>Subjects who  received a
      first dose <ulink linkType="Drug" linkID="3643">M-M-R II</ulink>  would receive  <ulink linkType="Drug" linkID="11457">Priorix</ulink> as a second dose. Since the second dose of a  <ulink linkType="Drug" linkID="3643">M-M-R II</ulink> vaccine in the US would be routinely
      co-administered with DTaP-IPV vaccine (<ulink linkType="Drug" linkID="57017">Kinrix</ulink>) and varicella vaccine (VV) (<ulink linkType="Drug" linkID="47279">ProQuad</ulink>). Some subjects would receive one dose of these vaccines along with either of the
       <ulink linkType="Drug" linkID="3643">M-M-R II</ulink> vaccines.</para><para>The study would consist of nine treatment arms:<br/>Arm 1: subjects would receive one dose of <ulink linkType="Drug" linkID="11457">Priorix</ulink> (sc) coadministered with <ulink linkType="Drug" linkID="57017">Kinrix</ulink> and <ulink linkType="Drug" linkID="47279">ProQuad</ulink> at day 0.<br/>Arm 2: subjects would receive one dose of <ulink linkType="Drug" linkID="3643">M-M-RII</ulink> (sc) lot 1 coadministered with <ulink linkType="Drug" linkID="57017">Kinrix</ulink> and <ulink linkType="Drug" linkID="47279">ProQuad</ulink> at day 0.<br/>Arm 3: subjects would receive one dose of <ulink linkType="Drug" linkID="3643">M-M-RII</ulink> (sc) lot 2 coadministered with <ulink linkType="Drug" linkID="57017">Kinrix</ulink> and <ulink linkType="Drug" linkID="47279">ProQuad</ulink> at day 0.<br/>Arm 4: subjects would receive one dose of <ulink linkType="Drug" linkID="11457">Priorix</ulink>  (sc) at day 0.<br/>Arm 5: subjects would receive one dose of  <ulink linkType="Drug" linkID="3643">M-M-R II</ulink>  (sc) lot 1 at day 0.<br/>Arm 6: subjects would receive one dose of  <ulink linkType="Drug" linkID="3643">M-M-R II</ulink>  (sc) lot 2 at day 0.<br/>Arm 7: subjects would receive one dose <ulink linkType="Drug" linkID="11457">Priorix</ulink> (sc) at day 0.<br/>Arm 8: subjects would receive one dose   <ulink linkType="Drug" linkID="3643">M-M-R II</ulink>   (sc) lot 1 at day 0.<br/>Arm 9: subjects would receive one dose   <ulink linkType="Drug" linkID="3643">M-M-R II</ulink>   (sc) lot 2 at day 0.</para></ProtocolDescription>,Phase 3a Clinical,C3A,Kinrix; M-M-R II; Priorix; ProQuad,Measles virus infection; Mumps virus infection; Rubella virus infection,"<Outcomes><para>In February 2019, results were published. MMR-RIT caused immune responses that were not lower in terms of GMCs and seroresponse rates than those of MMR II when administered alone or when co-administered with DTaP-IPV and VV. The immune response of MMR-RIT recipients to the co-administered vaccines was no lower than that of MMR II recipients [<ulink linkType=""Reference"" linkID=""2153795"">2153795</ulink>].</para></Outcomes>",Immunogenicity and Safety Study of GlaxoSmithKline (GSK) Biologicals' Combined Measles-mumps-rubella (MMR) Vaccine in Subjects 4 to 6 Years of Age,115158; 2011-004638-32; 209762; MMR-158; NCT01621802,"<Regimens><para>Patients were given as a second dose with or without co-administration of  Kinrix and ProQuad, using measles, mumps, and rubella (MMR) II (M-M-R II, Merck &amp; Co Inc.) as comparator [<ulink linkType=""Reference"" linkID=""2153795"">2153795</ulink>].</para></Regimens>",88475,Completed
null,"<ProtocolDescription><para>Infants in groups 1, 2 and 3 would receive  two doses of <ulink linkType=""Drug"" linkID=""39031"">MenACWY-CRM</ulink> (at 2 and 4 months) as a primary course of vaccination and third dose (at 12 months) as a booster. Infants would also receive routine vaccines - three doses of DTaP-Hib-IPV (<ulink linkType=""Drug"" linkID=""15298"">Pediacel</ulink>) (at 2, 3, and 4 months), three doses of PCV (<ulink linkType=""Drug"" linkID=""4144"">Prevnar</ulink>) (at 2, 4, and 13 months), and one dose each of MMR (<ulink linkType=""Drug"" linkID=""11457"">Priorix</ulink>) and Hib (<ulink linkType=""Drug"" linkID=""84867"">Vaxem HIB</ulink>) (booster) at 13 months of age. Infants in group 2 would have an additional blood draw at the time of enrollment. Infants in group 3 would have an additional blood draw at 6 to 7 days after third dose of MenACWY-CRM. One dose (0.5 ml) of MenACWY conjugate vaccine would be administered at 2-, 4-, and 12-months as im injections in the anterolateral area of the right thigh. Intramuscular injections of three doses of 0.5 ml each of DTaP-Hib-IPV would be administered at 2-, 3-, and 4-months in the anterolateral area of the left thigh. Intramuscular injections of three doses of 0.5 ml each of PCV would be administered at 2-, 4-, and 12-months (groups 2 and 3) or 13-months (group 1) in the anterolateral area of the left thigh. Intramuscular injection of one dose of 0.5 ml of MMR would be administered at 13 months in the anterolateral area of the left thigh. Intramuscular injection of one dose 0.5 ml of Hib would be administered at 13 months in the anterolateral area of the right thigh.</para></ProtocolDescription>",Phase 2 Clinical,C2,Menveo; Pentacel; Prevnar; Priorix; Vaxem HIB,Bordetella pertussis infection; Clostridium tetani infection; Corynebacterium diphtheriae infection; Haemophilus influenzae infection; Measles virus infection; Mumps virus infection; Neisseria meningitidis infection; Poliovirus infection; Rubella virus infection; Streptococcus pneumoniae infection,null,B Cell Response to a Primary and a Booster Course of the Novartis Meningococcal ACWY Conjugate Vaccine in Healthy Infants,2006-003476-35; NCT00488683; V59P16,null,10223,Completed
null,null,Phase not specified,NS,M-M-R II; ProQuad; varicella-zoster vaccine (Varivax/Zostavax),Measles virus infection; Mumps virus infection; Pediatric varicella zoster virus infection; Rubella virus infection,"<Outcomes><para>All children were seroconverted to all viruses and the vaccines were well tolerated. Varicella seroconversion rates and lymphocyte proliferation responses were 100% for both vaccine groups after 6 weeks and one year. The antibody titer to varicella was lower in the combined vaccine group at 6 weeks, but there was no  difference statistically in cell-mediated immune responses or one-year geometric mean titers. Seroconversion rates for measles, mumps, and rubella were 100% for both vaccine at 6 weeks and one year [<ulink linkType=""Reference"" linkID=""509697"">509697</ulink>].</para></Outcomes>","A Study To Evaluate The Safety And Immunogenicity of a combined live attenuated measles, mumps, rubella and varicella vaccine, ProQuad In Healthy Children",null,<Regimens><para>Children were administered with <ulink linkType="Drug" linkID="47279">ProQuad</ulink> or<ulink linkType="Drug" linkID="3643"> MMR II</ulink> and <ulink linkType="Drug" linkID="4645">Varivax</ulink> vaccines at separate injection sites given at the same visit were evaluated with respect to safety and cell-mediated and humoral immune responses at 6 weeks and one year after vaccination [<ulink linkType="Reference" linkID="509697">509697</ulink>]. </para></Regimens>,15333,No longer recruiting
null,"<ProtocolDescription><para>To evaluate the potential impact of the HIV-1 epidemic on immunity following measles vaccination,  a longitudinal study was conducted to compare the primary vaccine failure rate and rate of antibody decline following administration of standard-titer measles vaccine at 9 months of age to HIV-infected and HIV-uninfected Zambian children.  </para></ProtocolDescription>",Phase not specified,NS,null,HIV infection; Measles virus infection,null,Impact of HIV on Measles and Measles Immunization,GR059114MA; NCT00247091,null,105026,Completed
null,"<ProtocolDescription><para>In open label phase I clinical trial of this study, a total of 40 healthy volunteers would be vaccinated. Informed consent would be obtained from all of the healthy volunteers. Each healthy volunteer would receive one dose of S12 MMR vaccine and two blood samples (one sample just before vaccination and one sample 2 weeks after) would be drawn for hematology and biochemistry tests. In this study, all volunteers would be under close observation for 1 h after vaccination and then they would be followed daily for 2 weeks, and weekly for 4 weeks to assess the possible side effects of vaccination.  Healthy volunteers would  receive  0.5 cm3 MMR vaccine with new mumps component (RS12) [<ulink linkType=""Reference"" linkID=""1415597"">1415597</ulink>].</para></ProtocolDescription>",Phase 1 Clinical,C1,null,Measles virus infection; Mumps virus infection; Rubella virus infection,null,Safety Study of RAZI-MMR Vaccine in 18 to 49 Years Old Volunteers,1-18-18-8801; IRCT138904284412N1,null,127375,No longer recruiting
"<AdverseEvents><para>Results were published in March 2009. Redness and fever were the most frequently reported solicited local and general symptoms, seen across doses and groups, respectively. Unsolicited AEs were reported for 47.6 and 50.6% subjects in the intramuscular and subcutaneous groups, respectively, after the first vaccine dose. The study reported unsolicited AEs were reported for 38.5% subjects in each group, after the second vaccine dose. The study reported SAEs in 3.6 and 0.6 % of the subjects in the intramuscular and subcutaneous groups, respectively, after the first vaccine dose and for 1.2 % subjects in the IM group after the second vaccine dose. The investigators considered, two SAEs (one in each group), after the first vaccine dose to be related to the study vaccination. There were no fatal SAEs reported during the course of the study [<ulink linkType=""Reference"" linkID=""1530235"">1530235</ulink>].</para></AdverseEvents>",<ProtocolDescription><para>Subjects would receive   <ulink linkType="Drug" linkID="17141">Priorix-Tetra</ulink>  vaccine.</para></ProtocolDescription>,Phase 3b Clinical,C3B,Priorix-Tetra,Measles virus infection; Mumps virus infection; Rubella virus infection; Varicella zoster virus infection,"<Outcomes><para>Results were published in March 2009. After 42 to 56 days of dose 2, seroconversion for anti-varicella was observed in all subjects. At least 98.6 and 99.3% of subjects had anti-measles and  anti-mumps antibody titers values, respectively, at the same time point. Anti-rubella antibody titers &gt; 4 lU/ml were seen in all subjects [<ulink linkType=""Reference"" linkID=""1530235"">1530235</ulink>].</para></Outcomes>",Immunogenicity/Safety of Measles-Mumps-Rubella-Varicella Vaccine (MeMuRu-OKA): Using Two Different Administration Routes,106670; EudraCT: 2005-005944-22; NCT00351923,null,11963,Completed
null,null,Phase not specified,NS,null,Measles virus infection; Mumps virus infection; Rubella virus infection,"<Outcomes><para>Measles seroimmunity rate was similar between the two groups, before revaccination. But rates to mumps and rubella were significantly higher in younger children-measles: 74 versus 78.3%; mumps: 82.3 versus 68.4% and rubella: 75 versus 67%, respectively. All seroimmune subjects were IgG boosted when they were administered  with MMR(2) vaccine. Except for rubella, older seronegative children showed significantly higher seroconvertion rate to MMR(2) and seroprevalence rates increased in vaccinees-measles: 98.2 versus 94%, mumps: 97 versus 94.4% and rubella: 87 versus 92.4%, respectively. Only few measles-rubella seronegative children showed IgM response to MMR(2) [<ulink linkType=""Reference"" linkID=""1470828"">1470828</ulink>].</para></Outcomes>",Measles-Mumps-Rubella Revaccination; 18 Months versus 4 to 6 Years of Age: Potential Impacts of Schedule Changes,PMID: 21078605,null,152528,Completed
null,<ProtocolDescription><para>This study  proposed to evaluate long-term persistence of measles antibodies in this cohort (where  striking differences have been found in protection at 18 months of age according to vaccine strain); and number of doses to find out whether the measles antibody level is maintained over time. </para></ProtocolDescription>,Phase 4 Clinical,C4,"measles vaccine (inhaled aerosol), WHO",Measles virus infection,null,Long-term Follow-up of Measles Antibodies,LTAB-2288/2292-Twodose1; Lægevidenskabens Fremme-2292; NCT00168571; NOVO-2288,null,14946,Completed
