Action,ActionId,AuthorityGroup,Company,CompanyId,Country,CountryId,Drug,DrugId,EntityType,HighestDevStatus,HighestDevStatusForInd,HighestDevStatusForIndId,HighestDevStatusId,Indication,IndicationId,IsActiveCompany,LatestChange,ParentCompany,ParentCompanyId,Status,StatusDate,StatusId,StatusSortCode,TherapyArea,TherapyAreaId
Antimicrobial,1593,OTHER,Silence Therapeutics plc,22356,Romania,RO,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,1998-03-01 00:00:00,DX,3,Respiratory disease,711
Therapeutic vaccine,12379,OTHER,Silence Therapeutics plc,22356,Romania,RO,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,1998-03-01 00:00:00,DX,3,Respiratory disease,711
Adjuvant,524,OTHER,Silence Therapeutics plc,22356,Nigeria,NG,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,1998-03-01 00:00:00,DX,3,Respiratory disease,711
Anticancer,1545,OTHER,Silence Therapeutics plc,22356,Kuwait,KW,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,1998-03-01 00:00:00,DX,3,Respiratory disease,711
Adjuvant,524,OTHER,Silence Therapeutics plc,22356,Gambia,GM,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Discontinued,1998-03-01 00:00:00,DX,3,Respiratory disease,711
Systemic antipsoriatic product,15184,OTHER,Silence Therapeutics plc,22356,South Africa,ZA,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Phase 3 Clinical,1995-10-12 00:00:00,C3,10,Respiratory disease,711
Adjuvant,524,LOCAL_AND_MAJOR,Silence Therapeutics plc,22356,UK,GB,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Phase 2 Clinical,1995-10-12 00:00:00,C2,9,Respiratory disease,711
Systemic antipsoriatic product,15184,OTHER,Silence Therapeutics plc,22356,Nigeria,NG,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Phase 2 Clinical,1995-10-12 00:00:00,C2,9,Respiratory disease,711
Antiviral,991,OTHER,Silence Therapeutics plc,22356,Gambia,GM,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Phase 2 Clinical,1995-10-12 00:00:00,C2,9,Respiratory disease,711
Adjuvant,524,OTHER,Silence Therapeutics plc,22356,Gambia,GM,SRL-172,11115,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2003-05-07 00:00:00,Silence Therapeutics plc,22356,Phase 2 Clinical,1995-10-12 00:00:00,C2,9,Respiratory disease,711
Subunit vaccine,12371,LOCAL_AND_MAJOR,MaxPharma,26965,US,US,"M tuberculosis vaccine (LEAPS), CEL-SCI (MaxPharma)",11526,Biological,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2011-12-28 00:00:00,CEL-SCI Corp,15339,No Development Reported,2011-12-28 00:00:00,NDR,2,Respiratory disease,711
Prophylactic vaccine,12378,LOCAL_AND_MAJOR,MaxPharma,26965,US,US,"M tuberculosis vaccine (LEAPS), CEL-SCI (MaxPharma)",11526,Biological,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2011-12-28 00:00:00,CEL-SCI Corp,15339,Discovery,1999-09-29 00:00:00,DR,6,Respiratory disease,711
DNA gyrase inhibitor,431,OTHER,The Global Alliance for TB Drug Development,29411,Haiti,HT,moxifloxacin,12978,Chemical,Launched,Phase 3 Clinical,C3,L,Mycobacterium tuberculosis infection,221,true,2015-02-10 00:00:00,The Global Alliance for TB Drug Development,29411,Discovery,2014-10-14 00:00:00,DR,6,Respiratory disease,711
Antibacterial,1594,OTHER,The Global Alliance for TB Drug Development,29411,Malaysia,MY,moxifloxacin,12978,Chemical,Launched,Phase 3 Clinical,C3,L,Mycobacterium tuberculosis infection,221,true,2015-02-10 00:00:00,The Global Alliance for TB Drug Development,29411,Phase 3 Clinical,2014-08-04 00:00:00,C3,10,Respiratory disease,711
DNA gyrase inhibitor,431,OTHER,The Global Alliance for TB Drug Development,29411,World,WO,moxifloxacin,12978,Chemical,Launched,Phase 3 Clinical,C3,L,Mycobacterium tuberculosis infection,221,true,2015-02-10 00:00:00,The Global Alliance for TB Drug Development,29411,Phase 2 Clinical,2005-10-17 00:00:00,C2,9,Respiratory disease,711
Prophylactic vaccine,12378,LOCAL_AND_MAJOR,Pasteur Merieux Connaught Canada,19267,US,US,"vaccine (BCG), Connaught/Whitehead",12124,Biological,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2001-08-24 00:00:00,Sanofi,1009547,No Development Reported,2001-08-24 00:00:00,NDR,2,Respiratory disease,711
Prophylactic vaccine,12378,LOCAL_AND_MAJOR,Trustees of Health & Hospitals of The City of Boston,21398,US,US,"vaccine (BCG), Connaught/Whitehead",12124,Biological,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2001-08-24 00:00:00,Trustees of Health & Hospitals of The City of Boston,21398,Discovery,1996-04-18 00:00:00,DR,6,Respiratory disease,711
Prophylactic vaccine,12378,LOCAL_AND_MAJOR,Massachusetts Institute of Technology,18225,US,US,"vaccine (BCG), Connaught/Whitehead",12124,Biological,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2001-08-24 00:00:00,Massachusetts Institute of Technology,18225,Discovery,1996-04-18 00:00:00,DR,6,Respiratory disease,711
Bacterial nucleic acid synthesis inhibitor,3984,OTHER,Bayer AG,14455,Spain,ES,moxifloxacin,12978,Chemical,Launched,Phase 3 Clinical,C3,L,Mycobacterium tuberculosis infection,221,true,2015-02-10 00:00:00,Bayer AG,14455,Phase 2 Clinical,2005-10-17 00:00:00,C2,9,Respiratory disease,711
Topoisomerase IV inhibitor,9320,OTHER,Bayer AG,14455,Tanzania,TZ,moxifloxacin,12978,Chemical,Launched,Phase 3 Clinical,C3,L,Mycobacterium tuberculosis infection,221,true,2015-02-10 00:00:00,Bayer AG,14455,Phase 2 Clinical,2005-10-17 00:00:00,C2,9,Respiratory disease,711
Systemic dermatological antibacterial product,15187,OTHER,Bayer AG,14455,Tanzania,TZ,moxifloxacin,12978,Chemical,Launched,Phase 3 Clinical,C3,L,Mycobacterium tuberculosis infection,221,true,2015-02-10 00:00:00,Bayer AG,14455,Phase 2 Clinical,2005-10-17 00:00:00,C2,9,Respiratory disease,711
Antibacterial,1594,LOCAL_AND_MAJOR,University of Illinois,20592,US,US,B-4157,12634,Chemical,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2000-05-15 00:00:00,University of Illinois,20592,No Development Reported,2000-05-15 00:00:00,NDR,2,Respiratory disease,711
Anticancer,1545,LOCAL_AND_MAJOR,Indiana University,20593,US,US,"dihydrofolate reductase inhibitors, Duquesne/Indiana",12146,Chemical,Discovery,No Development Reported,NDR,DR,Mycobacterium tuberculosis infection,221,true,2011-01-04 00:00:00,Indiana University,20593,No Development Reported,2011-01-04 00:00:00,NDR,2,Respiratory disease,711
Anticancer,1545,LOCAL_AND_MAJOR,Indiana University,20593,US,US,"dihydrofolate reductase inhibitors, Duquesne/Indiana",12146,Chemical,Discovery,No Development Reported,NDR,DR,Mycobacterium tuberculosis infection,221,true,2011-01-04 00:00:00,Indiana University,20593,Discovery,2003-03-30 00:00:00,DR,6,Respiratory disease,711
Antiparasitic,2638,LOCAL_AND_MAJOR,Duquesne University,20569,US,US,"dihydrofolate reductase inhibitors, Duquesne/Indiana",12146,Chemical,Discovery,No Development Reported,NDR,DR,Mycobacterium tuberculosis infection,221,true,2011-01-04 00:00:00,Duquesne University,20569,No Development Reported,2011-01-04 00:00:00,NDR,2,Respiratory disease,711
Lipid subunit vaccine,12374,LOCAL_AND_MAJOR,Paligent Inc,19142,US,US,"vaccine (tuberculosis), Procept",15602,Biological,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2005-12-31 00:00:00,Paligent Inc,19142,Discovery,1997-07-30 00:00:00,DR,6,Respiratory disease,711
DNA synthesis inhibitor,140,LOCAL_AND_MAJOR,Harbor Therapeutics Inc,24345,US,US,PP-29,15867,Chemical,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2003-07-02 00:00:00,Harbor Therapeutics Inc,24345,Discovery,1997-03-01 00:00:00,DR,6,Respiratory disease,711
Nuclease inhibitor,9166,LOCAL_AND_MAJOR,University of Illinois,20592,US,US,pafuramidine,16755,Chemical,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2008-02-22 00:00:00,University of Illinois,20592,Discontinued,2000-01-28 00:00:00,DX,3,Respiratory disease,711
Antiparasitic,2638,LOCAL_AND_MAJOR,University of Illinois,20592,US,US,pafuramidine,16755,Chemical,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2008-02-22 00:00:00,University of Illinois,20592,Discontinued,2000-01-28 00:00:00,DX,3,Respiratory disease,711
Fungicide,1748,LOCAL_AND_MAJOR,University of Illinois,20592,US,US,pafuramidine,16755,Chemical,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2008-02-22 00:00:00,University of Illinois,20592,Discontinued,2000-01-28 00:00:00,DX,3,Respiratory disease,711
Antibacterial,1594,LOCAL_AND_MAJOR,University of North Carolina,20634,US,US,pafuramidine,16755,Chemical,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2008-02-22 00:00:00,University of North Carolina,20634,Discontinued,2000-01-28 00:00:00,DX,3,Respiratory disease,711
Antiparasitic,2638,LOCAL_AND_MAJOR,Immtech Pharmaceuticals Inc,17195,US,US,pafuramidine,16755,Chemical,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2008-02-22 00:00:00,Immtech Pharmaceuticals Inc,17195,Discovery,2000-10-23 00:00:00,DR,6,Respiratory disease,711
Fungicide,1748,LOCAL_AND_MAJOR,Immtech Pharmaceuticals Inc,17195,US,US,pafuramidine,16755,Chemical,Discontinued,Discontinued,DX,DX,Mycobacterium tuberculosis infection,221,false,2008-02-22 00:00:00,Immtech Pharmaceuticals Inc,17195,Discovery,2000-10-23 00:00:00,DR,6,Respiratory disease,711
Unspecified drug target,59620,LOCAL_AND_MAJOR,Panacea Biotec Ltd,25333,India,IN,Panacea-0394,29616,Chemical,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2008-02-20 00:00:00,Panacea Biotec Ltd,25333,No Development Reported,2008-02-20 00:00:00,NDR,2,Respiratory disease,711
DNA RNA polymerase inhibitor,139,LOCAL_AND_MAJOR,Bristol-Myers Squibb Pharma Co,26864,US,US,DuP-105,2973,Chemical,Discontinued,No Development Reported,NDR,DX,Mycobacterium tuberculosis infection,221,false,2004-03-02 00:00:00,Bristol-Myers Squibb Co,15065,No Development Reported,2001-06-27 00:00:00,NDR,2,Respiratory disease,711
Gastrointestinal diagnostic agent,7213,LOCAL_AND_MAJOR,Navidea Biopharmaceuticals Inc,18471,US,US,technetium Tc 99m tilmanocept,34061,Chemical,Launched,Discovery,DR,L,Mycobacterium tuberculosis infection,221,true,2014-12-12 00:00:00,Navidea Biopharmaceuticals Inc,18471,Discovery,2013-09-19 00:00:00,DR,6,Respiratory disease,711
Protease inhibitor,331,LOCAL_AND_MAJOR,Medivir AB,18015,Sweden,SE,"antibacterial protease inhibitors, Medivir/University of London",35747,Chemical,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2003-08-19 00:00:00,Medivir AB,18015,No Development Reported,2003-08-19 00:00:00,NDR,2,Respiratory disease,711
Protease inhibitor,331,LOCAL_AND_MAJOR,University of London,20607,UK,GB,"antibacterial protease inhibitors, Medivir/University of London",35747,Chemical,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2003-08-19 00:00:00,University of London,20607,Discovery,2001-08-28 00:00:00,DR,6,Respiratory disease,711
Antibacterial,1594,LOCAL_AND_MAJOR,University of London,20607,UK,GB,"antibacterial protease inhibitors, Medivir/University of London",35747,Chemical,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2003-08-19 00:00:00,University of London,20607,Discovery,2001-08-28 00:00:00,DR,6,Respiratory disease,711
Antibacterial,1594,LOCAL_AND_MAJOR,ANI Pharmaceuticals Inc,27120,US,US,"tuberculosis vaccine (BioVant), BioSante",39902,Biological,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2008-12-23 00:00:00,ANI Pharmaceuticals Inc,27120,No Development Reported,2008-12-23 00:00:00,NDR,2,Respiratory disease,711
DNA gyrase inhibitor,431,LOCAL_AND_MAJOR,NicOx SA,23741,France,FR,NCX-976,47140,Chemical,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2005-01-31 00:00:00,NicOx SA,23741,No Development Reported,2005-01-31 00:00:00,NDR,2,Respiratory disease,711
Phospho MurNAc pentapeptide transferase inhibitor,64334,LOCAL_AND_MAJOR,Sankyo Co Ltd,19658,Japan,JP,"capuramycin derivative translocase inhibitors (tuberculosis, Clostridium difficile infection, Chrons disease), Sequella",48440,Chemical,Discovery,Discovery,DR,DR,Mycobacterium tuberculosis infection,221,false,2012-05-03 00:00:00,Daiichi Sankyo Co Ltd,1017506,Discontinued,2004-11-01 00:00:00,DX,3,Respiratory disease,711
Bacterial cell wall synthesis inhibitor,104,LOCAL_AND_MAJOR,Sankyo Co Ltd,19658,Japan,JP,"capuramycin derivative translocase inhibitors (tuberculosis, Clostridium difficile infection, Chrons disease), Sequella",48440,Chemical,Discovery,Discovery,DR,DR,Mycobacterium tuberculosis infection,221,false,2012-05-03 00:00:00,Daiichi Sankyo Co Ltd,1017506,Discontinued,2004-11-01 00:00:00,DX,3,Respiratory disease,711
Antibacterial,1594,LOCAL_AND_MAJOR,Sankyo Co Ltd,19658,Japan,JP,"capuramycin derivative translocase inhibitors (tuberculosis, Clostridium difficile infection, Chrons disease), Sequella",48440,Chemical,Discovery,Discovery,DR,DR,Mycobacterium tuberculosis infection,221,false,2012-05-03 00:00:00,Daiichi Sankyo Co Ltd,1017506,Discovery,2003-09-01 00:00:00,DR,6,Respiratory disease,711
Mycobacterial antigen complex 85B modulator,33970,OTHER,Aeras Global TB Vaccine Foundation,1007376,Sweden,SE,"HyVac4/IC-31 vaccine (tuberculosis), SSI/Aeras/Intercell",48499,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-07-29 00:00:00,Aeras Global TB Vaccine Foundation,1007376,Phase 1 Clinical,2007-12-04 00:00:00,C1,8,Respiratory disease,711
Mycobacterial antigen complex 85B modulator,33970,OTHER,Aeras Global TB Vaccine Foundation,1007376,South Africa,ZA,"HyVac4/IC-31 vaccine (tuberculosis), SSI/Aeras/Intercell",48499,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-07-29 00:00:00,Aeras Global TB Vaccine Foundation,1007376,Phase 2 Clinical,2013-07-29 00:00:00,C2,9,Respiratory disease,711
Protein subunit vaccine,12372,OTHER,Sanofi Pasteur,22127,South Africa,ZA,"HyVac4/IC-31 vaccine (tuberculosis), SSI/Aeras/Intercell",48499,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-07-29 00:00:00,Sanofi,1009547,Phase 2 Clinical,2013-07-29 00:00:00,C2,9,Respiratory disease,711
Mycobacterial antigen complex 85B modulator,33970,OTHER,Statens Serum Institut,21502,Finland,FI,"HyVac4/IC-31 vaccine (tuberculosis), SSI/Aeras/Intercell",48499,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-07-29 00:00:00,Statens Serum Institut,21502,Phase 1 Clinical,2009-01-26 00:00:00,C1,8,Respiratory disease,711
Protein subunit vaccine,12372,OTHER,Statens Serum Institut,21502,Finland,FI,"HyVac4/IC-31 vaccine (tuberculosis), SSI/Aeras/Intercell",48499,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-07-29 00:00:00,Statens Serum Institut,21502,Phase 1 Clinical,2009-01-26 00:00:00,C1,8,Respiratory disease,711
Prophylactic vaccine,12378,OTHER,Statens Serum Institut,21502,South Africa,ZA,"HyVac4/IC-31 vaccine (tuberculosis), SSI/Aeras/Intercell",48499,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-07-29 00:00:00,Statens Serum Institut,21502,Phase 2 Clinical,2013-07-29 00:00:00,C2,9,Respiratory disease,711
Fungicide,1748,LOCAL_AND_MAJOR,Central Drug Research Institute,15350,India,IN,"galactopyranose derivatives (antifungal/antitubercular), Central Drug Research Institute",50637,Chemical,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2005-01-24 00:00:00,Council of Scientific and Industrial Research (India),15561,No Development Reported,2005-01-24 00:00:00,NDR,2,Respiratory disease,711
Glycosyltransferase inhibitor,1025,LOCAL_AND_MAJOR,Central Drug Research Institute,15350,India,IN,"galactopyranose derivatives (antifungal/antitubercular), Central Drug Research Institute",50637,Chemical,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2005-01-24 00:00:00,Council of Scientific and Industrial Research (India),15561,No Development Reported,2005-01-24 00:00:00,NDR,2,Respiratory disease,711
Unspecified drug target,59620,LOCAL_AND_MAJOR,Lupin Ltd,21932,India,IN,LL-4858,51319,Chemical,No Development Reported,No Development Reported,NDR,NDR,Mycobacterium tuberculosis infection,221,false,2010-03-26 00:00:00,Lupin Ltd,21932,Discovery,2004-04-01 00:00:00,DR,6,Respiratory disease,711
Protein subunit vaccine,12372,OTHER,Intercell AG,28463,Tanzania,TZ,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,false,2013-05-28 00:00:00,Valneva SE,1084202,Discontinued,2013-05-28 00:00:00,DX,3,Respiratory disease,711
Recombinant bacterial vector vaccine,12369,OTHER,Intercell AG,28463,South Africa,ZA,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,false,2013-05-28 00:00:00,Valneva SE,1084202,Phase 2 Clinical,2012-08-17 00:00:00,C2,9,Respiratory disease,711
Recombinant bacterial vector vaccine,12369,OTHER,Intercell AG,28463,Tanzania,TZ,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,false,2013-05-28 00:00:00,Valneva SE,1084202,Phase 2 Clinical,2012-08-17 00:00:00,C2,9,Respiratory disease,711
Prophylactic vaccine,12378,OTHER,Intercell AG,28463,Netherlands,NL,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,false,2013-05-28 00:00:00,Valneva SE,1084202,Phase 1 Clinical,2005-11-18 00:00:00,C1,8,Respiratory disease,711
Recombinant bacterial vector vaccine,12369,OTHER,Intercell AG,28463,Austria,AT,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,false,2013-05-28 00:00:00,Valneva SE,1084202,Discovery,2004-03-17 00:00:00,DR,6,Respiratory disease,711
Protein subunit vaccine,12372,OTHER,Aeras Global TB Vaccine Foundation,1007376,Netherlands,NL,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-05-28 00:00:00,Aeras Global TB Vaccine Foundation,1007376,Phase 2 Clinical,2009-03-02 00:00:00,C2,9,Respiratory disease,711
Recombinant bacterial vector vaccine,12369,OTHER,Sanofi Pasteur,22127,Switzerland,CH,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-05-28 00:00:00,Sanofi,1009547,Phase 1 Clinical,2010-12-31 00:00:00,C1,8,Respiratory disease,711
Prophylactic vaccine,12378,LOCAL_AND_MAJOR,Statens Serum Institut,21502,Denmark,DK,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-05-28 00:00:00,Statens Serum Institut,21502,Discovery,2004-03-17 00:00:00,DR,6,Respiratory disease,711
Protein subunit vaccine,12372,LOCAL_AND_MAJOR,Statens Serum Institut,21502,Denmark,DK,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-05-28 00:00:00,Statens Serum Institut,21502,Discovery,2004-03-17 00:00:00,DR,6,Respiratory disease,711
Recombinant bacterial vector vaccine,12369,LOCAL_AND_MAJOR,Statens Serum Institut,21502,Denmark,DK,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-05-28 00:00:00,Statens Serum Institut,21502,Discovery,2004-03-17 00:00:00,DR,6,Respiratory disease,711
Prophylactic vaccine,12378,OTHER,Statens Serum Institut,21502,Netherlands,NL,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-05-28 00:00:00,Statens Serum Institut,21502,Phase 1 Clinical,2005-11-18 00:00:00,C1,8,Respiratory disease,711
Protein subunit vaccine,12372,OTHER,Statens Serum Institut,21502,Netherlands,NL,"Ag85B-ESAT-6 vaccine (tuberculosis), SSI/Aeras/sanofi pasteur/Valneva",53784,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,true,2013-05-28 00:00:00,Statens Serum Institut,21502,Phase 1 Clinical,2005-11-18 00:00:00,C1,8,Respiratory disease,711
Recombinant viral vector vaccine,12370,OTHER,Oxford-Emergent Tuberculosis Consortium Ltd,1040955,South Africa,ZA,MVA-85A,55317,Biological,Phase 2 Clinical,Phase 2 Clinical,C2,C2,Mycobacterium tuberculosis infection,221,false,2014-03-07 00:00:00,Emergent BioSolutions Inc,1011990,Phase 1 Clinical,2008-07-23 00:00:00,C1,8,Respiratory disease,711
