ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
2,null,null,celecoxib,Phase 2 Clinical,C2,celecoxib,12135,250,ARRY-371797,253,null,A study of ARRY-371797 in subjects undergoing third molar extraction,ARRAY-797-222; NCT00663767,Array BioPharma Inc,12698,"APRIL    , 30, 2008",Completed
1+,null,Peritoneal tumor,null,Phase 1/Phase 2 Clinical,C12,celecoxib,12135,72,alpha DC1 cells; celecoxib; interferon alfa-2b; rintatolimod,72,null,Alpha-DC1 Vaccine + Chemokine Modulatory Regimen (CKM) as Adjuvant Treatment of Peritoneal Surface Malignancies,12-110; 5P01CA132714-05; NCT02151448,University of Pittsburgh,192666,"JULY     , 31, 2014",Completed
1+,"Cytotoxic T-Lymphocytes; GTPase KRas; HLA class I histocompatibility antigen, A alpha chain; Tumor-Infiltrating Lymphocytes",Metastatic colorectal cancer,null,Phase 2 Clinical,C2,celecoxib,12135,null,"alpha-type-1 polarized dendritic cell vaccine (peritoneal cancer), University of Pittsburgh; celecoxib; interferon alfa-2b; rintatolimod",null,null,"A Study of Type-1 Polarized Dendritic Cell (alpha-DC1) Vaccine in Combination With Tumor-Selective Chemokine Modulation (Interferon-alfa-2b, Rintatolimod, and Celecoxib) in Subjects With Chemo-Refractory Metastatic Colorectal Cancer",15-023; NCT02615574,University of Pittsburgh,247079,"MARCH    , 31, 2016",Terminated
2+,null,Cancer pain,null,Phase not specified,NS,celecoxib,12135,146,Tetrodin; acetaminophen; celecoxib; dexamethasone,126,null,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Design Trial of the Efficacy and Safety of Subcutaneous Tetrodotoxin (Tectin) for Moderate to Severe Inadequately Controlled Cancer-Related Pain",ISRCTN75684296; WEX-014,WEX Pharmaceuticals Inc,143220,"DECEMBER , 30, 2003",Completed
2+,null,Cardiovascular disease,null,Phase 1 Clinical,C1,celecoxib,12135,90,PA-32540; PA-32540; aspirin; celecoxib,90,null,"Study Evaluating the Effect on Gastroduodenal Mucosa of PA-32540, PA-32540 and Celecoxib, and Aspirin With Celecoxib",NCT00700687; PA32540-109,POZEN Inc,17964,"JUNE     , 30, 2008",Completed
2,null,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,500,etoricoxib,608,Study 2,A Study of MK-0663 and an Approved Drug in the Treatment of Osteoarthritis,2004_058; MK0663-077; NCT00092781; Study 2,Merck & Co Inc,57118,"MARCH    , 01, 2004",Completed
3+,Alanine transaminase; Albumin; Alkaline phosphatase; Aspartate aminotransferase; Basophils; Bicarbonates; Bilirubin; Blood platelets; C-reactive protein; C-reactive protein; Calcium; Chlorides; Creatine kinase; Creatinine; Diastolic blood pressure; Eosinophils; Erythrocytes; Glucose; Heart rate; Hematocrit; Hemoglobin; Joint swelling; Joint tenderness; Lactate dehydrogenase; Leukocyte count; Lymphocytes; Monocytes; Neutrophils; Oxalic acid; Phosphate; Potassium; Sodium; Systolic blood pressure; Total protein; Urea nitrogen; Uric acid,Rheumatoid arthritis,null,Phase 2 Clinical,C2,celecoxib,12135,70,CP-195543; celecoxib; celecoxib,70,null,A Study Of CP-195543 And Celecoxib Dual Therapy In Subjects With Rheumatoid Arthritis (RA),A7701005; NCT00424294,Pfizer Inc,2344,"JUNE     , 30, 2006",Terminated
2,null,Osteoarthritis,rofecoxib,Phase 4 Clinical,C4,celecoxib,12135,810,celecoxib,810,SUCCESS-VI,"A 6-week, randomized, double-blind, parallel trial, to compare the safety and efficacy of celecoxib and rofecoxib in hypertensive patients with osteoarthritis (OA)",N49-99-02-149; SUCCESS-VI,"GD Searle & Co, Pfizer Inc",30230,"DECEMBER , 08, 1999",Status not specified
1+,null,Osteoarthritis,null,Phase 2 Clinical,C2,celecoxib,12135,50,Celebrex; REG-N475; Zorvolex; naproxen,50,null,Study to Evaluate Arthroplasty Specimens for Osteoarthritis of the Knee and Hip,2018-001618-13; NCT03949673; R475-OA-1816,Regeneron Pharmaceuticals Inc,380618,"APRIL    , 08, 2019",Recruiting
2+,null,Osteoarthritis,aspirin,Phase 2 Clinical,C2,celecoxib,12135,1360,aspirin; celecoxib; rofecoxib,1360,null,"A Multicenter, Randomized, Parallel-Group, Active-Controlled, Double-Blind Study Conducted Under In-House Blinding Conditions to Determine the Incidence of Gastroduodenal Ulcers in Patients With Osteoarthritis or Rheumatoid Arthritis After 12 Weeks of Treatment With L-001069957 (21 mg) Plus Low-Dose Aspirin, L- 01069957 (42 mg) Plus Low-Dose Aspirin, Celecoxib (400 mg) Plus Low-Dose Aspirin, or Low-Dose Aspirin Alone",0782-003; EudraCT 2004-000612-54,Merck & Co Inc,138539,"SEPTEMBER, 11, 2004",Completed
2+,null,Rheumatoid arthritis,aspirin,Phase 2 Clinical,C2,celecoxib,12135,1360,aspirin; celecoxib; rofecoxib,1360,null,"A Multicenter, Randomized, Parallel-Group, Active-Controlled, Double-Blind Study Conducted Under In-House Blinding Conditions to Determine the Incidence of Gastroduodenal Ulcers in Patients With Osteoarthritis or Rheumatoid Arthritis After 12 Weeks of Treatment With L-001069957 (21 mg) Plus Low-Dose Aspirin, L- 01069957 (42 mg) Plus Low-Dose Aspirin, Celecoxib (400 mg) Plus Low-Dose Aspirin, or Low-Dose Aspirin Alone",0782-003; EudraCT 2004-000612-54,Merck & Co Inc,138539,"SEPTEMBER, 11, 2004",Completed
2,"15-Keto-13,14-dihydroprostaglandin E2; Dinoprostone; Prostaglandins",Inflammatory disease,celecoxib,Phase 1 Clinical,C1,celecoxib,12135,76,GRC-27864,76,null,"GRC-27864 First-in-man, Single-ascending Dose Study in Healthy Subjects",GRC 27864-101; NCT02179645,Glenmark Pharmaceuticals Ltd,201801,"MAY      , 31, 2014",Completed
2,"15-Keto-13,14-dihydroprostaglandin E2; Dinoprostone; Prostaglandins",Pain,celecoxib,Phase 1 Clinical,C1,celecoxib,12135,76,GRC-27864,76,null,"GRC-27864 First-in-man, Single-ascending Dose Study in Healthy Subjects",GRC 27864-101; NCT02179645,Glenmark Pharmaceuticals Ltd,201801,"MAY      , 31, 2014",Completed
2,null,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,3036,lumiracoxib,3032,null,"A 52-Week, International, Multicenter, Randomized, Double-Blind, Double-Dummy, Parallel-Group Clinical Trial to Compare Retention on Treatment, Safety, Tolerability and Efficacy of Lumiracoxib 100 mg Once Daily, Lumiracoxib 100 mg Twice Daily and Celecoxib 200 mg Once-Daily in Patients With Primary OA of Hip, Knee, Hand or Spine",CCOX189A2369; NCT00145301,Novartis AG,21471,"SEPTEMBER, 30, 2004",Completed
2,null,Osteoarthritis,celecoxib,Phase 2 Clinical,C2,celecoxib,12135,360,ketoprofen,397,null,Ketoprofen in Transfersome Compared to Oral Celecoxib and Placebo for Pain Associated With Osteoarthritis of the Knee,CL-033-II-03; CR012214; NCT00317733; NCT01309464,IDEA AG,21762,"JULY     , 31, 2003",Completed
2,null,Pain,null,Phase 2 Clinical,C2,celecoxib,12135,250,RGH-478; celecoxib,250,null,"An Exploratory, Double-Blind, Randomized, Placebo and Active-Controlled Study to Assess the Safety and Efficacy of RGH-478 for the Treatment of Moderate to Severe Pain in Osteoarthritis of the Knee",EudraCT 2011-000931-10; RGH-478-004,Gedeon Richter Ltd,132024,"AUGUST   , 02, 2011",Completed
2,null,Pain,celecoxib,Phase 2 Clinical,C2,celecoxib,12135,268,galcanezumab,266,null,A Study of LY-2951742 in Participants With Mild to Moderate Osteoarthritis Knee Pain,15515; I5Q-MC-CGAF; NCT02192190,Eli Lilly & Co,204690,"JULY     , 31, 2014",Terminated
2,null,Osteoarthritis,celecoxib,Phase 2 Clinical,C2,celecoxib,12135,435,YH-23537,435,null,A Clinical Trial of YH-23537 in Patients With Knee Osteoarthritis,NCT02759198; YH23537-202,Yuhan Corp,259967,"APRIL    , 30, 2016",Recruiting
2,Blood pressure; Dinoprostone; Epoprostenol; Transaminases,Pain,celecoxib,Phase 1 Clinical,C1,celecoxib,12135,90,LY-3023703,48,null,A Multiple Dose Study of LY-3023703 in Healthy Participants,14708; I6H-MC-MCBB; NCT01849055,Eli Lilly & Co,129630,"MAY      , 31, 2013",Completed
2,Blood pressure; Dinoprostone; Epoprostenol; Transaminases,Osteoarthritis,celecoxib,Phase 1 Clinical,C1,celecoxib,12135,90,LY-3023703,48,null,A Multiple Dose Study of LY-3023703 in Healthy Participants,14708; I6H-MC-MCBB; NCT01849055,Eli Lilly & Co,129630,"MAY      , 31, 2013",Completed
2,null,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,500,etoricoxib,599,null,A Study of MK-0663 and an Approved Drug in the Treatment of Osteoarthritis,0663-076; 2004_057; MK0663-076; NCT00092768,Merck & Co Inc,21409,"MARCH    , 01, 2004",Completed
2,null,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,1200,lumiracoxib,1262,null,Efficacy and Safety Study of Lumiracoxib in Patients With Primary Hip Osteoarthritis,CCOX189A2367; NCT00154219,Novartis AG,21479,"NOVEMBER , 30, 2004",Completed
3,null,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,614,esomeprazole; naproxen; naproxen/esomeprazole,619,null,Study Evaluating the Efficacy of PN-400 bid and Celebrex qd in Patients With Osteoarthritis of the Knee,NCT00664560; PN400-307,POZEN Inc,22096,"APRIL    , 30, 2008",Completed
2,PGE; PGEM; PGIM; TXAM,Osteoarthritis,celecoxib,Phase 1 Clinical,C1,celecoxib,12135,42,LY-3031207,42,null,A Study of LY-3031207 in Healthy Subjects,14283; I5W-EW-LBCA; NCT01449630,Eli Lilly & Co,81621,"OCTOBER  , 31, 2011",Completed
3,Blood flow; Body temperature,Pain,capsaicin; capsaicin; celecoxib,Phase 1 Clinical,C1,celecoxib,12135,37,V-116517; capsaicin,37,null,Experimental Biomarker Study for Pain Thresholds,2011-002399-18; NCT02695745; VND1004,Purdue Pharma LP,254746,"SEPTEMBER, 30, 2011",Completed
3,Blood flow; Body temperature,Postherpetic neuralgia,capsaicin; capsaicin; celecoxib,Phase 1 Clinical,C1,celecoxib,12135,37,V-116517; capsaicin,37,null,Experimental Biomarker Study for Pain Thresholds,2011-002399-18; NCT02695745; VND1004,Purdue Pharma LP,254746,"SEPTEMBER, 30, 2011",Completed
2+,CD4/CD8 ratio; Cytotoxic T-Lymphocytes; Cytotoxic T-lymphocyte protein 4; Forkhead box protein P3; Programmed cell death protein 1; Regulatory T-Lymphocytes; T-lymphocytes; Tumor mass,Advanced solid tumor,celecoxib,Phase 1/Phase 2 Clinical,C12,celecoxib,12135,30,cyclophosphamide; hTERT multipeptide vaccine; imiquimod; montanide ISA-51 VG,23,VAPER,Vaccination with peptides (molecules) and other ingredients which stimulate the anticancer immune system in patients with advanced cancers,01; 117895; 2014-003025-18; ISRCTN07292674; VAPER; VAPER,"Guy's & St Thomas' Hospital NHS Trust, King's College London, University of Nottingham",213433,"FEBRUARY , 04, 2013",Completed
2,null,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,610,naproxen/esomeprazole,615,null,Efficacy Study of PN-400 (Vimovo) Twice-Daily and Celebrex Once-Daily in Patients With Osteoarthritis,NCT00665431; PN400-309,POZEN Inc,22095,"APRIL    , 30, 2008",Completed
1,null,Osteoarthritis,null,Phase 2/Phase 3 Clinical,C23,celecoxib,12135,686,celecoxib,686,null,"A randomized, double-blind, placebo-controlled, parallel-group, multicenter study to evaluate the safety and efficacy of celecoxib in patients with osteoarthritis",A3191252; N49-96-02-060,"GD Searle & Co, Pfizer Inc",76830,"MAY      , 29, 1997",Status not specified
3,CRP; LDL-C; fibrinogen; homocysteine,Osteoarthritis,celecoxib; ibuprofen,Phase 2b Clinical,C2B,celecoxib,12135,433,etoricoxib,433,null,"A phase IIb, randomized, parallel, double-blind, multicenter, placebo-controlled study to evaluate the safety and efficacy of etoricoxib versus celecoxib, ibuprofen on cardiac biomarkers in patients with osteoarthritis",065,Merck & Co Inc,76962,"SEPTEMBER, 30, 2002",Status not specified
1+,Knee stiffness,Osteoarthritis,null,Phase 2 Clinical,C2,celecoxib,12135,41,Aleve; acetaminophen; celecoxib; naproxen,41,null,A Pilot Study Assessing the Treatment Responsiveness of a Novel Osteoarthritis Stiffness Scale,19783; NCT03570554,Bayer AG,344505,"JUNE     , 29, 2018",No longer recruiting
2+,"Adiponectin; Adiponectin/Leptin ratio; Glucose; Glycosylated serum albumin; Hemoglobin A, glycosylated; Homeostasis model assessment Beta cell function; Homeostasis model assessment insulin resistance; Insulin; Leptin; Total body mass",Non-insulin dependent diabetes,Glucophage XR,Phase 1/Phase 2 Clinical,C12,celecoxib,12135,115,Glucophage XR; RK-01; celecoxib; valsartan,115,RESILIENCE,Evaluation of Superiority of Valsartan + Celecoxib + Metformin Over Metformin Alone in Type 2 Diabetes Patients,NCT03686657; RESILIENCE; RK-01 PROTOTYPE,Arkay Therapeutics LLC,354704,"AUGUST   , 05, 2019",Not yet recruiting
2+,Standardized uptake value,Myositis,null,Phase 1 Clinical,C1,celecoxib,12135,47,11C-ER-176; 11C-MC-1; PET scan; celecoxib,47,null,Novel PET Radioligands as Inflammatory Biomarkers in Rheumatoid Arthritis and Myositis,19-M-0079; 190079; NCT03912428,The National Institute of Mental Health,376708,"JUNE     , 14, 2019",Recruiting
2+,Standardized uptake value,Rheumatoid arthritis,null,Phase 1 Clinical,C1,celecoxib,12135,47,11C-ER-176; 11C-MC-1; PET scan; celecoxib,47,null,Novel PET Radioligands as Inflammatory Biomarkers in Rheumatoid Arthritis and Myositis,19-M-0079; 190079; NCT03912428,The National Institute of Mental Health,376708,"JUNE     , 14, 2019",Recruiting
2+,Standardized uptake value,Myopathy,null,Phase 1 Clinical,C1,celecoxib,12135,47,11C-ER-176; 11C-MC-1; PET scan; celecoxib,47,null,Novel PET Radioligands as Inflammatory Biomarkers in Rheumatoid Arthritis and Myositis,19-M-0079; 190079; NCT03912428,The National Institute of Mental Health,376708,"JUNE     , 14, 2019",Recruiting
2,null,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,338,Entelon,338,null,Evaluation of the Efficacy and Safety of Entelon Tablet 150 mg in Patients With Osteoarthritis of Knee,HL_ENTR_302; KCT0000629; NCT01768520,"Hanlim Pharmaceutical Co Ltd, St.Antonius Hospital",104784,"JULY     , 02, 2012",Completed
2,null,Osteoarthritis,celecoxib,Phase 3 Clinical,C3,celecoxib,12135,650,TDS-943,650,Trial II,Study Evaluating the Efficacy and Safety of Topical Diclofenac Spray in Osteoarthritis of the Knee: Trial II,NCT00546832; TD-07-14; Trial II,Wyeth,19979,"OCTOBER  , 31, 2007",Completed
3,null,Pain,celecoxib; tramadol,Phase 3 Clinical,C3,celecoxib,12135,637,E-58425,637,null,Co-crystal E-58425 Versus Tramadol and Celecoxib for Moderate to Severe Acute Pain After Bunionectomy. Phase III Clinical Trial,ESTEVE-SUSA-301; NCT03108482,Laboratorios Dr Esteve SA,294235,"MARCH    , 14, 2017",Completed
1,null,Hepatocellular carcinoma,null,Phase 2 Clinical,C2,celecoxib,12135,80,candesartan; celecoxib,80,null,Assessment of a Combination Therapy With Candesartan And Celecoxib For Patients With Advanced Hepatocellular Carcinoma After Transhepatic Arterial Chemoembolization,JPRN-UMIN000002435,Kurume University School of Medicine,132758,"SEPTEMBER, 01, 2008",Recruiting
3,null,Osteoarthritis,null,Phase not specified,NS,celecoxib,12135,null,celecoxib; diclofenac; ibuprofen,null,CLASS,"A randomized, double-blind, comparative trial to study the tolerability of celecoxib, diclofenac and ibuprofen in osteoarthritis and rheumatoid arthritis: The CLASS (Celecoxib Long-term Arthritis Safety Study)",CLASS,Baylor College of Medicine,111791,"JANUARY  , 31, 2002",Status not specified
3,null,Rheumatoid arthritis,null,Phase not specified,NS,celecoxib,12135,null,celecoxib; diclofenac; ibuprofen,null,CLASS,"A randomized, double-blind, comparative trial to study the tolerability of celecoxib, diclofenac and ibuprofen in osteoarthritis and rheumatoid arthritis: The CLASS (Celecoxib Long-term Arthritis Safety Study)",CLASS,Baylor College of Medicine,111791,"JANUARY  , 31, 2002",Status not specified
2+,null,Pain,null,Phase 4 Clinical,C4,celecoxib,12135,120,celecoxib; paracetamol; parecoxib; pethidine; pethidine,111,The COMMAND Trial,"Parecoxib, Celecoxib and Paracetamol for Pain Management Following Cesarean Delivery",ACTRN12609001041246; ANZCTR320810; The COMMAND Trial,King Edward Memorial Hospital,133320,"FEBRUARY , 01, 2010",Completed
2,null,Arthritis,null,Phase 1 Clinical,C1,celecoxib,12135,12,celecoxib; fluconazole; imrecoxib,12,null,"Study on the effect of fluconazole on the pharmacokinetics of imrecoxib tablets in healthy subjects (single-center, single-arm, open, self-control)",ChiCTR-OIB-15007606,"School of Pharmaceutical Sciences, Central South University",249284,"DECEMBER , 22, 2015",Recruiting
1,null,Osteoarthritis,null,Phase 4 Clinical,C4,celecoxib,12135,22,celecoxib,22,null,Celebrex Total Knee Arthroplasty Study,A3191225; NCT00359151,Pfizer Inc,20872,"NOVEMBER , 30, 2006",Terminated
2,null,Osteoarthritis,null,Phase 2 Clinical,C2,celecoxib,12135,160,"Herbal capsules (colchicum autumnale, saffon and ginger); celecoxib",160,null,"Comparison of herbal composition colchicum autumnale, saffon and ginger with celecoxib on clinical symptoms in aged 60 to 70 years with osteoarthritis of the knee in Bushehr",IRCT2015053022466N1; bpums.rec.1394.4,Bushehr University of Medical Science,236823,"JULY     , 01, 2015",No longer recruiting
2,null,Juvenile rheumatoid arthritis,naproxen,Phase 3 Clinical,C3,celecoxib,12135,225,celecoxib,242,null,A Study to Evaluate the Efficacy and Safety of Celecoxib Suspension Compared to Naproxen Suspension in Patients With Juvenille Rheumatoid Arthritis (JRA),A3191127; N49-01-02-195; NCT00652925,Pfizer Inc,9668,"OCTOBER  , 31, 2002",Completed
1+,null,Stomach tumor,null,Phase 4 Clinical,C4,celecoxib,12135,90,capecitabine; celecoxib; lanreotide,90,null,Multicenter Clinical Control Study Of Noncytotoxic Drug - Gastric Carcinoma D2 Radical Correction - Capecitabine Combined Therapy In Gastric Carcinoma,ChiCTR-TNRC-00000052,Sichuan University,136071,"FEBRUARY , 01, 2008",Recruiting
1,null,Hormone refractory prostate cancer,null,Phase 2 Clinical,C2,celecoxib,12135,6,celecoxib; docetaxel,6,null,Phase II Trial of Docetaxel and Celecoxib in Patients With Androgen Independent Prostate Cancer,NCT00494338; XRP6976J_2504,Sanofi SA,45499,"NOVEMBER , 30, 2004",Terminated
2+,E1; E1S; E2; SHBG,Breast tumor,null,Phase 2 Clinical,C2,celecoxib,12135,110,celecoxib; exemestane; exemestane; exemestane + celecoxib,106,null,Open-Label Study Of Exemestane With Or Without Celecoxib In Postmenopausal Women With ABC Having Progressed On Tamoxifen,A3191139; NCT00038103; NQ8-01-02-013,Pfizer Inc,28589,"JANUARY  , 31, 2002",Completed
1+,null,Cancer,null,Phase 4 Clinical,C4,celecoxib,12135,10,celecoxib; etoposide phosphate; thalidomide,10,null,Antiangiogenetic Therapy for Pediatric Malignancies with no Conventional Treatment Modalities Left,2008-006989-28; extended2008,University Hospital for Children and Adolescents,199731,null,Status not specified
