ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
1+,null,Measles virus infection,Havrix; Prevnar; Pro-Quad,Phase 2 Clinical,C2,Prevnar,4144,1851,Havrix; Prevnar; Priorix-Tetra,1783,MMRV-054 PRI,Immunogenicity and Safety of GlaxoSmithKline Biologicals' MMRV Vaccine versus ProQuad in Children 12 to 14 Months of Age,110058; 110058_1; 2017-000454-18; BB-IND 13510; MMRV-054 PRI; NCT00578175,"GlaxoSmithKline Biologicals, GlaxoSmithKline plc",11526,"NOVEMBER , 30, 2007",Completed
3,null,Measles virus infection,null,Phase 1/Phase 2 Clinical,C12,varicella-zoster vaccine (Varivax/Zostavax),4645,105,M-M-R II; ProQuad; Varivax,105,null,Immune Responses to Two Dose Varivax +/- MMR-II,04-073; NCT00258726,National Institute of Allergy and Infectious Diseases,11515,"OCTOBER  , 31, 2005",Terminated
1+,Anti-poliovirus type 1 antibody; Anti-poliovirus type 2 antibody; Anti-poliovirus type 3 antibody; Body temperature; Diphtheria antibody; Filamentous hemagglutinin (FHA); Fimbriae type 2; Fimbriae type 3; Limb muscle; Pertactin (PRN); Pertussis toxoid (PT); Polio antibody; Tetanus antibody,Measles virus infection,Daptacel; Daptacel + IPOL + M-M-R II + Varivax; IPOL; M-M-R II; Varivax,Phase 3 Clinical,C3,M-M-R II,3643,3372,M-M-R II; Quadracel; Quadracel + M-M-R II + Varivax; Varivax,3340,null,Study of DTap-IPV Compared to Daptacel and IPOL as the Fifth Dose in Children 4 to 6 Years of Age,M5I02; NCT01346293; U1111-1116-4842,Sanofi Pasteur Inc,77052,"APRIL    , 30, 2011",Completed
1,null,Measles virus infection,null,Phase 3 Clinical,C3,trimethoprim + sulphamethoxazole,44363,218,trimethoprim + sulfamethoxazole,218,null,A Phase III Study Of Prophylactic Antibiotics in Measles,NCT00168532; ProfAnt-BHP-1996,Bandim Health Project,11380,"JANUARY  , 31, 1998",Completed
2+,Anti-Bordetella pertussis antibodies; Anti-Bordetella pertussis filamentous hemagglutinin adhesin antibodies; Anti-Bordetella pertussis pertactin antibodies; Anti-Clostridium tetani antibodies; Anti-Corynebacterium diphtheriae antibodies; Anti-poliovirus type 1 antibodies; Anti-poliovirus type 2 antibodies; Anti-poliovirus type 3 antibodies,Measles virus infection,"Infanrix-IPV; MMR vaccine, Merck & Co; ProQuad",Phase 3a Clinical,C3A,ProQuad,47279,4011,"Infanrix-IPV; MMR vaccine, Merck & Co; Priorix; Priorix; ProQuad",4011,MMR-158,Immunogenicity and Safety Study of GlaxoSmithKline (GSK) Biologicals' Combined Measles-mumps-rubella (MMR) Vaccine in Subjects 4 to 6 Years of Age,115158; 2011-004638-32; 209762; MMR-158; NCT01621802,GlaxoSmithKline plc,88475,"JUNE     , 21, 2012",Completed
2+,Meningococcal rSBA,Measles virus infection,Meningitec; Priorix-Tetra,Phase 3 Clinical,C3,Nimenrix,55366,1000,Nimenrix; Nimenrix + Priorix-Tetra; Priorix-Tetra; Priorix-Tetra + Meningitec,1000,null,Safety And Immunogenicity Study of Meningococcal Vaccine GSK-134612 Given With Priorix-Tetra to 12 to 23 Months-Old Children,109670; NCT00474266,GlaxoSmithKline plc,9859,"JUNE     , 05, 2007",Completed
1,null,Measles virus infection,null,Phase 4 Clinical,C4,M-M-R II,3643,74,ROR Vax,74,null,"Measles, Mumps, and Rubella (MMR) Immunity in College Students",IRB00007373; NCT00962819,Emory University,59758,"MARCH    , 31, 2010",Completed
2+,Anti-Bordetella pertussis antibodies; Anti-Bordetella pertussis filamentous hemagglutinin adhesin antibodies; Anti-Bordetella pertussis pertactin antibodies; Anti-Clostridium tetani antibodies; Anti-Corynebacterium diphtheriae antibodies; Anti-poliovirus type 1 antibodies; Anti-poliovirus type 2 antibodies; Anti-poliovirus type 3 antibodies,Measles virus infection,"Infanrix-IPV; MMR vaccine, Merck & Co; ProQuad",Phase 3a Clinical,C3A,M-M-R II,3643,4011,"Infanrix-IPV; MMR vaccine, Merck & Co; Priorix; Priorix; ProQuad",4011,MMR-158,Immunogenicity and Safety Study of GlaxoSmithKline (GSK) Biologicals' Combined Measles-mumps-rubella (MMR) Vaccine in Subjects 4 to 6 Years of Age,115158; 2011-004638-32; 209762; MMR-158; NCT01621802,GlaxoSmithKline plc,88475,"JUNE     , 21, 2012",Completed
2+,Body temperature,Measles virus infection,Havrix; Prevnar 13; Varivax,Phase 3a Clinical,C3A,Priorix,11457,1743,Havrix; M-M-R II; Prevnar 13; Priorix; Varivax,1736,null,"Safety and Immunogenicity Study of GlaxoSmithKline (GSK) Biologicals Measles, Mumps and Rubella (MMR) Vaccine (209762) Compared to Merck and Co, Inc's MMR Vaccine in Healthy Children 12 to 15 Months of Age",115650; 2011-006161-18; MMR-162; NCT02184572,"GlaxoSmithKline Biologicals, GlaxoSmithKline plc",203343,"AUGUST   , 25, 2014",Completed
3,null,Measles virus infection,null,Phase 2 Clinical,C2,Priorix-Tetra,17141,446,Priorix; Priorix-Tetra; Varilrix,458,MeMuRu-OKA 046,"Immunogenicity, Safety of Measles-Mumps-Rubella-Varicella Vaccine (MeMuRu-OKA) Compared to Priorix Given With Varilrix",105908; EudraCT: 2005-006065-14; MeMuRu-OKA 046; NCT00353288,GlaxoSmithKline plc,102759,"MARCH    , 31, 2006",Completed
1,null,Measles virus infection,null,Phase 4 Clinical,C4,"measles vaccine (inhaled aerosol), WHO",56118,4050,"measles vaccine (inhaled aerosol), WHO",4050,null,Trial of Additional Measles Vaccine to Reduce Child Mortality. Burkina Faso,NCT01668745; OPTIMUNISE_NOUNA_EARLY MV,Bandim Health Project,200688,"MAY      , 31, 2013",Recruiting
5,Anti varicella zoster virus antibodies; Body temperature,Measles virus infection,"MMR vaccine, Merck & Co",Phase 3 Clinical,C3,Havrix,6621,5016,Priorix,5016,MMR-160,Consistency Study of GlaxoSmithKline(GSK) Biologicals MMR Vaccine (209762)(Priorix) Comparing Immunogenicity and Safety to Merck and Co Inc's MMR Vaccine (MMR II) in Children 12 to 15 Months of Age,115648; 2011-004891-12; MMR-160; NCT01702428,GlaxoSmithKline plc,94105,"NOVEMBER , 09, 2012",Completed
1+,Anti-poliovirus type 1 antibody; Anti-poliovirus type 2 antibody; Anti-poliovirus type 3 antibody; Body temperature; Diphtheria antibody; Filamentous hemagglutinin (FHA); Fimbriae type 2; Fimbriae type 3; Limb muscle; Pertactin (PRN); Pertussis toxoid (PT); Polio antibody; Tetanus antibody,Measles virus infection,Daptacel; Daptacel + IPOL + M-M-R II + Varivax; IPOL; M-M-R II; Varivax,Phase 3 Clinical,C3,"diphtheria/tetanus/pertussis vaccine, sanofi pasteur",30214,3372,M-M-R II; Quadracel; Quadracel + M-M-R II + Varivax; Varivax,3340,null,Study of DTap-IPV Compared to Daptacel and IPOL as the Fifth Dose in Children 4 to 6 Years of Age,M5I02; NCT01346293; U1111-1116-4842,Sanofi Pasteur Inc,77052,"APRIL    , 30, 2011",Completed
1+,Anti varicella zoster virus antibodies; Anti-Bordetella pertussis antibodies; Anti-Bordetella pertussis filamentous hemagglutinin adhesin antibodies; Anti-Bordetella pertussis pertactin antibodies; Anti-HBs antigen antibodies; Anti-Measles antibodies; Anti-Meningitis A antibodies; Anti-Meningitis C antibodies; Anti-Meningitis W antibodies; Anti-Meningitis W-135 antibodies; Anti-Meningitis Y antibodies; Anti-Parotitis virus antibodies; Anti-Rotavirus antibodies; Anti-Rubella antibodies; Anti-Streptococcus pneumoniae antibodies; Anti-poliovirus type 1 antibodies; Anti-poliovirus type 2 antibodies; Anti-poliovirus type 3 antibodies; Anti-polyribitol phosphate antibodies; Immunoglobulin G,Measles virus infection,"DTaP-IPV//Hib vaccine; Hepatitis A vaccine; Hepatitis B vaccine; Measles, mumps, rubella (MMR) vaccine; Menveo; Pneumococcal 13-valent conjugate vaccine; RotaTeq; Varicella vaccine",Phase 3 Clinical,C3,RotaTeq,22877,2475,"Hepatitis A vaccine; Hepatitis B vaccine; Measles, mumps, rubella (MMR) vaccine; Pentaxim; Pneumococcal 13-valent conjugate vaccine; RotaTeq; Varicella vaccine; quadrivalent meningococcal tetanus toxoid conjugate vaccine (meningitis), Sanofi Pasteur",2475,null,Immunogenicity and Safety of a Quadrivalent Meningococcal Conjugate Vaccine When Administered Concomitantly With Routine Pediatric Vaccines in Healthy Infants and Toddlers in the US,MET42; NCT03537508,Sanofi Pasteur,340960,"APRIL    , 25, 2018",Recruiting
3+,null,Measles virus infection,Havrix; M-M-R II; M-M-R II + Varivax + Havrix + Prevnar; Prevnar; Varivax,Phase 2 Clinical,C2,Havrix,6621,1259,Havrix; Prevnar; Priorix; Priorix (lot 2); Priorix (lot 3); Priorix + Varivax + Havrix + Prevnar; Varivax,1220,null,"Immunogenicity of GSK's MMR Vaccine (209762) versus M-M-R II, When Given With Routine Vaccines at 12 to 15 Months of Age",111870; 111870_; 2011-005860-31; 7229; MMR-157 PRI; NCT00861744,GlaxoSmithKline plc,79465,"JUNE     , 30, 2009",Completed
1+,Anti varicella zoster virus antibodies; Anti-Bordetella pertussis antibodies; Anti-Bordetella pertussis filamentous hemagglutinin adhesin antibodies; Anti-Bordetella pertussis pertactin antibodies; Anti-HBs antigen antibodies; Anti-Measles antibodies; Anti-Meningitis A antibodies; Anti-Meningitis C antibodies; Anti-Meningitis W antibodies; Anti-Meningitis W-135 antibodies; Anti-Meningitis Y antibodies; Anti-Parotitis virus antibodies; Anti-Rotavirus antibodies; Anti-Rubella antibodies; Anti-Streptococcus pneumoniae antibodies; Anti-poliovirus type 1 antibodies; Anti-poliovirus type 2 antibodies; Anti-poliovirus type 3 antibodies; Anti-polyribitol phosphate antibodies; Immunoglobulin G,Measles virus infection,"DTaP-IPV//Hib vaccine; Hepatitis A vaccine; Hepatitis B vaccine; Measles, mumps, rubella (MMR) vaccine; Menveo; Pneumococcal 13-valent conjugate vaccine; RotaTeq; Varicella vaccine",Phase 3 Clinical,C3,"quadrivalent meningococcal tetanus toxoid conjugate vaccine (meningitis), Sanofi Pasteur",102979,2475,"Hepatitis A vaccine; Hepatitis B vaccine; Measles, mumps, rubella (MMR) vaccine; Pentaxim; Pneumococcal 13-valent conjugate vaccine; RotaTeq; Varicella vaccine; quadrivalent meningococcal tetanus toxoid conjugate vaccine (meningitis), Sanofi Pasteur",2475,null,Immunogenicity and Safety of a Quadrivalent Meningococcal Conjugate Vaccine When Administered Concomitantly With Routine Pediatric Vaccines in Healthy Infants and Toddlers in the US,MET42; NCT03537508,Sanofi Pasteur,340960,"APRIL    , 25, 2018",Recruiting
2+,Anti-Bordetella pertussis antibodies; Anti-Clostridium tetani antibodies; Anti-Corynebacterium diphtheriae antibodies; Anti-Measles antibodies; Anti-Parotitis virus antibodies,Measles virus infection,Adacel; Priorix,Phase 4 Clinical,C4,Priorix,11457,150,Diphtherinum; Morbilinum; Ourlianum; Pertussinum; Tetanotxicum,150,HVT,Homeopathic Vaccine Trial,HVT; HVT-2016; NCT02825368,McMaster University,265194,"SEPTEMBER, 30, 2016",Recruiting
2+,Body temperature,Measles virus infection,HepA; MMRV; Prevnar,Phase 3 Clinical,C3,ProQuad,47279,1378,HepA; Menactra; Menactra; Prevnar; ProQuad,1378,null,Study of the Safety of Menactra Vaccine When Administered With Other Pediatric Vaccines to Healthy Toddlers,MTA48; NCT00483574,Sanofi SA,9965,"MAY      , 31, 2007",Completed
3,null,Measles virus infection,null,Phase 1/Phase 2 Clinical,C12,ProQuad,47279,105,M-M-R II; ProQuad; Varivax,105,null,Immune Responses to Two Dose Varivax +/- MMR-II,04-073; NCT00258726,National Institute of Allergy and Infectious Diseases,11515,"OCTOBER  , 31, 2005",Terminated
4+,null,Measles virus infection,"Haemophilus influenzae B (Hib) vaccine, Aventis Pasteur; ROR Vax",Phase 3 Clinical,C3,"Haemophilus influenzae B (Hib) vaccine, Aventis Pasteur",7167,1128,Menactra; Menactra; PCV; ROR Vax,1128,null,"A Study of Two Doses of Menactra, a Meningococcal Conjugate Vaccine in Healthy Toddlers",MTA44; NCT00384397,Sanofi SA,9949,"SEPTEMBER, 30, 2006",Completed
3,null,Measles virus infection,Priorix; Varilrix,Phase 2 Clinical,C2,Varilrix,9474,400,Priorix-Tetra; Varilrix + Priorix,400,null,"Immunogenicity, Safety of Measles-mumps-rubella-varicella Vaccine (MeMuRu-OKA) Compared to Priorix Given With Varilrix",105909; 2005-005825-75; NCT00352898,GlaxoSmithKline plc,187831,"APRIL    , 30, 2006",Completed
1,null,Measles virus infection,null,Phase 3 Clinical,C3,Priorix-Tetra,17141,559,Priorix-Tetra,559,null,"Immunogenicity and Safety of a Combined Vaccine to Prevent Measles, Mumps, Rubella and Chickenpox Diseases",103388; MMRV-042; NCT00127010,GlaxoSmithKline Biologicals,11387,"NOVEMBER , 30, 2005",Completed
1+,Polyribosylribitol phosphate,Measles virus infection,null,Phase 3 Clinical,C3,Menitorix,11458,284,"M-M-RvaxPRO; Men-C CRM liquid vaccine, Novartis; Menitorix; NeisVac-C; Prevnar 13; V-419",284,null,Immunogenicity and Safety of V-419 (PR-51) in Combination With MCC in Infants and Toddlers,2011-002413-11; NCT01553279; PRI01C; UKCRN ID: 11587; V419-011,MCM Vaccine BV,85664,"MARCH    , 30, 2012",Completed
3+,null,Measles virus infection,Priorix,Phase 3b Clinical,C3B,Varilrix,9474,5735,Priorix; Priorix-Tetra; Varilrix; Varilrix + Priorix,5803,null,"Evaluate Vaccine Against Chickenpox and a Combined Vaccine Against 4 Viral Childhood Diseases: Measles, Mumps, Rubella and Chickenpox",100388; 100388 (OKAH-179); 103494; 103494 (EXT FU Y1); 103494 (OKAH-180 EXT 179 Y1); 104105; 104105 (EXT FU Y2); 104105 (OKAH-181 EXT 179 Y2); 104106; 104106 (EXT FU Y4-Y6-Y8-Y10); 111433; 180 Y1; 181 Y2; 182 Y4-Y6-Y8-Y10; 2004-002676-41; NCT00226499; OKAH-179 and EXT,"GlaxoSmithKline Biologicals, GlaxoSmithKline plc",11418,"SEPTEMBER, 30, 2005",Completed
1,null,Measles virus infection,null,Phase 3b Clinical,C3B,Priorix-Tetra,17141,330,Priorix-Tetra,330,null,Immunogenicity/Safety of Measles-Mumps-Rubella-Varicella Vaccine (MeMuRu-OKA): Using Two Different Administration Routes,106670; EudraCT: 2005-005944-22; NCT00351923,GlaxoSmithKline plc,11963,"MARCH    , 31, 2006",Completed
1+,Anti-Clostridium tetani antibodies; Anti-Corynebacterium diphtheriae antibodies; Anti-Hepatitis B virus antibodies; Anti-Meningitis A virus antibodies; Anti-Meningitis C virus antibodies; Anti-Meningitis Y virus antibodies; Anti-poliovirus type 1 antibodies; Anti-poliovirus type 2 antibodies; Anti-poliovirus type 3 antibodies; Anti-polyribitol phosphate antibodies; Anti-polyribosylribitol phosphate,Measles virus infection,M-M-RvaxPRO; Nimenrix; Prevnar 13; RotaTeq; V-419,Phase 3 Clinical,C3,RotaTeq,22877,350,M-M-RvaxPRO; NeisVac-C; Nimenrix; Prevnar 13; RotaTeq; V-419,312,null,Concomitant Administration of a New Hexavalent Vaccine With a Meningococcal Serogroup C Conjugate Vaccine in Healthy Infants During Primary Series Immunization Followed by Booster Vaccination,2012-005547-24; EUCTR2012-005547-24; HXM01C; NCT01839175,"Sanofi Pasteur MSD, Sanofi SA",124248,"APRIL    , 30, 2013",Completed
1+,null,Measles virus infection,null,Phase 2 Clinical,C2,Priorix,11457,216,MenACWY-CRM; Pediacel; Prevnar; Priorix; Vaxem HIB,216,null,B Cell Response to a Primary and a Booster Course of the Novartis Meningococcal ACWY Conjugate Vaccine in Healthy Infants,2006-003476-35; NCT00488683; V59P16,Novartis AG,10223,"JULY     , 31, 2007",Completed
1,null,Measles virus infection,null,Phase 4 Clinical,C4,Priorix,11457,150,Priorix,150,null,Assess GSK Biologicals' MMR Vaccine (Priorix) When Given to Healthy Children at the Age of 12 to 18 Months in Singapore,209762/147; NCT00388440,GlaxoSmithKline Biologicals,11425,"NOVEMBER , 30, 2000",Completed
