ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
1,null,Mycobacterium tuberculosis infection,null,Phase 1 Clinical,C1,MVA-85A,55317,12,MVA85A,12,null,A Phase I Study of the Safety and Immunogenicity of MVA85A in Healthy Gambian Volunteers,AFTBVAC; NCT00423839,University of Oxford,10872,"MARCH    , 31, 2003",Completed
2,QT interval,Mycobacterium tuberculosis infection,null,Phase 2 Clinical,C2,bedaquiline,51310,241,bedaquiline; bedaquiline; clofazimine,233,null,"To Evaluate the Safety, Tolerability, and Efficacy of TMC-207 as Part of an Individualized Multi-Drug Resistant Tuberculosis (MDR-TB) Treatment Regimen in Participants With Sputum Smear-Positive Pulmonary MDR-TB",2008-008444-25; CR012352; NCT00910871; NCT00980811; TMC207-TiDP13-C209,Johnson & Johnson,56974,"SEPTEMBER, 30, 2009",Completed
2,null,Mycobacterium tuberculosis infection,null,Phase 2 Clinical,C2,"tenofovir disoproxil fumarate + emtricitabine + efavirenz, Gilead/BMS/Merck & Co",50038,30,tenofovir disoproxil fumarate + emtricitabine + efavirenz,30,PETE,Pharmacokinetics of Emtricitabine/Tenofovir + Efavirenz in HIV-Infected Patients With Tuberculosis,NCT00474435; PETE; UMCN-AKF 04.03,Poverty Related Infection Oriented Research,10945,"NOVEMBER , 30, 2008",Recruiting
1+,BMI; Complete blood count; Erythrocyte sedimentation rate; Fasting blood glucose; Height; Hemoglobin; Serum albumin; Serum uric acid; Total body mass; Weight,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,nevirapine,3700,135,"efavirenz; lamivudine + zidovudine, GlaxoSmithKline; nevirapine; rifampicin",135,"NVP",Efficacy and Safety of Concomitant Use of Nevirapine and Rifampicin With HIV-TB,"NVP"; NCT01805258; SKS/NACO-1/2006-07,All India Institute of Medical Sciences,114300,"JUNE     , 30, 2007",Completed
1+,Alanine transaminase; Aspartate aminotransferase; QT interval,Mycobacterium tuberculosis infection,ethambutol; isoniazid; pyraziminide; rifampicin,Phase 2b Clinical,C2B,moxifloxacin,12978,240,bedaquiline; moxifloxacin; pretomanid; pyraziminide,240,null,"A Phase II to Evaluate the Efficacy, Safety and Tolerability of Combinations of Bedaquiline, Moxifloxacin, PA-824 and Pyrazinamide in Adult Subjects With Drug-Sensitive or Multi Drug-Resistant Pulmonary Tuberculosis",NC-005; NC-005-(J-M-PA-Z); NCT02193776,TB Alliance,210646,"OCTOBER  , 23, 2014",Completed
3+,Alanine transaminase; Blood platelets; Body temperature; CD40 ligand; Creatinine; Cytotoxic T-Lymphocytes; Hemoglobin; Interferon gamma; Interleukin-2; Leukocyte count; T-Lymphocytes; T-cell surface glycoprotein CD4; T-cell surface glycoprotein CD8 alpha chain; Tumor necrosis factor,Mycobacterium tuberculosis infection,Menjugate; Polio Sabin; Prevnar; Tritanrix HB,Phase 2 Clinical,C2,"meningococcal C/CRM-197 conjugate vaccine, Chiron",3612,302,GSK-692342; GSK-692342a; Polio Sabin; Prevnar; Tritanrix HB,302,null,Safety and Immunogenicity Study of a Candidate Tuberculosis Vaccine in Healthy Infants,112899; 2012-004380-44; NCT01098474; TUBERCULOSIS-013 PRI,GlaxoSmithKline plc,65639,"JULY     , 31, 2010",Completed
2,null,Mycobacterium tuberculosis infection,null,Phase 1 Clinical,C1,MVA-85A,55317,48,BCG; BCG; MVA-85A,48,null,"A BCG Challenge Model Study to Assess Anti-mycobacterial Immunity Induced by BCG and a Candidate TB Vaccine, MVA-85A",NCT01194180; TB023,University of Oxford,69926,"MAY      , 31, 2010",Completed
6,null,Mycobacterium tuberculosis infection,null,Phase 4 Clinical,C4,lopinavir + ritonavir,14681,200,ethambutol; isoniazid; lopinavir + ritonavir; nevirapine; pyrazinamide; rifampicin,39,DATiC,Optimal Dosing of First-Line Antituberculosis and Antiretroviral Drugs in Children (a Pharmacokinetic Study),DATiC; DATiC; NCT01637558,University of Cape Town,89135,"NOVEMBER , 30, 2012",Completed
1,Cytotoxic T-Lymphocytes; Interferon gamma; Interleukin-17A; Interleukin-2; T-Helper Lymphocytes; T-cell surface glycoprotein CD4; T-cell surface glycoprotein CD8 alpha chain; Tumor necrosis factor,Mycobacterium tuberculosis infection,null,Phase 2 Clinical,C2,MVA-85A,55317,650,MVA-85A,650,null,"Efficacy Against TB Disease, Safety, and Immunogenicity of MVA-85A/AERAS-485 in HIV-Infected Adults",C-030-485; NCT01151189,Aeras Global TB Vaccine Foundation,67841,"JULY     , 31, 2011",Completed
1+,null,Mycobacterium tuberculosis infection,null,Phase 2 Clinical,C2,raltegravir,54488,140,Aluvia; raltegravir; rifabutin,140,null,EARNEST Rifabutin Pharmacokinetics (PK) Substudy,ISRCTN13074752; NCT01663168,"Joint Clinical Research Centre, Medical Research Council",90175,"MAY      , 03, 2012",Completed
5,Body Mass Index; C-reactive protein; MDR1; N-acetyltransferase  (NAT2); Solute carrier organic anion transporter family member 1B1; Total body mass; UDP-galactose translocator,Mycobacterium tuberculosis infection,isoniazid,Phase 2 Clinical,C2,moxifloxacin,12978,72,moxifloxacin; moxifloxacin; rifampin,72,TBTC-27/28 PK,TBTC Study 27/28 PK: Moxifloxacin Pharmacokinetics During TB Treatment,CDC-NCHSTP-4222; NCT00164463; TBTC-27/28 PK,Centers for Disease Control and Prevention,10847,"JULY     , 31, 2004",Completed
1,null,Mycobacterium tuberculosis infection,null,Phase 2 Clinical,C2,"thalidomide, Celgene",8050,50,"thalidomide, Celgene",50,null,"Phase II, Placebo-Controlled Study of Thalidomide in Patients With Mycobacterial and HIV Infections",199/11682; NCT00004276; RU-0300395,National Center for Research Resources,92426,"SEPTEMBER, 30, 1990",Completed
1,HIV negative; T-Helper Lymphocytes; T-Lymphocytes; T-cell surface glycoprotein CD4,Mycobacterium tuberculosis infection,null,Phase 1/Phase 2 Clinical,C12,SSI H56-IC31,74849,98,SSI H56-IC31,98,null,A Phase I/IIa Safety And Immunogenicity of AERAS-456 in HIV-Negative Adults With And Without Latent Tuberculosis Infection,C-035-456; NCT01865487,Aeras Global TB Vaccine Foundation,136263,"AUGUST   , 31, 2013",Completed
5,null,Mycobacterium tuberculosis infection,antiretroviral therapy; optimized background regimen therapy,Phase 3 Clinical,C3,delamanid,16545,511,antiretroviral therapy; delamanid; optimized background regimen therapy,511,null,Safety and Efficacy Trial of Delamanid for 6 Months in Participants With Multidrug Resistant Tuberculosis,2010-022271-59; 242-09-213; NCT01424670,Otsuka Pharmaceutical Development and Commercialization Inc,80386,"SEPTEMBER, 02, 2011",Completed
2,null,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,levofloxacin,3492,182,levofloxacin; moxifloxacin,182,null,Comparison of the Effect Between Levofloxacin and Moxifloxacin Among MDR-TB Patients,H-0911-068-301; NCT01055145,Seoul National University Hospital,63801,"MARCH    , 31, 2010",Terminated
2+,null,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,nevirapine,3700,150,efavirenz; ethambutol; isoniazid; lamivudine; nevirapine; pyrazinamide; rifampicin; zidovudine,355,null,"Efficacy of Thrice Weekly Directly Observed Treatment, Short-course (DOTS) in HIV-associated Tuberculosis",NCT00698334; SKS/NACO/2006,All India Institute of Medical Sciences,161275,"APRIL    , 30, 2006",Completed
4,T-cell surface glycoprotein CD4,Mycobacterium tuberculosis infection,null,Phase 4 Clinical,C4,emtricitabine,4728,809,efavirenz; emtricitabine; tenofovir disoproxil fumarate; tenofovir disoproxil fumarate + emtricitabine,780,STRIDE,Immediate Versus Deferred Start of Anti-HIV Therapy in HIV Infected Adults Being Treated for Tuberculosis,1U01AI068636; ACTG A5221; ACTG A5221; NCT00108862; STRIDE,AIDS Clinical Trials Group,10681,"AUGUST   , 31, 2006",Completed
4+,null,Mycobacterium tuberculosis infection,Rifafour e,Phase 2 Clinical,C2,bedaquiline,51310,105,PA-824; TMC-207; clofazimine; clofazimine; pyrazinamide; pyrazinamide,105,NC-003,Evaluation of Early Bactericidal Activity in Pulmonary Tuberculosis With Clofazimine (C)-TMC-207 (J)-PA-824 (Pa)-Pyrazinamide (Z),NC-003; NC-003-(C-J-Pa-Z); NCT01691534,TB Alliance,92275,"OCTOBER  , 31, 2012",Completed
1+,BMI; Complete blood count; Erythrocyte sedimentation rate; Fasting blood glucose; Height; Hemoglobin; Serum albumin; Serum uric acid; Total body mass; Weight,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,efavirenz,10172,135,"efavirenz; lamivudine + zidovudine, GlaxoSmithKline; nevirapine; rifampicin",135,"NVP",Efficacy and Safety of Concomitant Use of Nevirapine and Rifampicin With HIV-TB,"NVP"; NCT01805258; SKS/NACO-1/2006-07,All India Institute of Medical Sciences,114300,"JUNE     , 30, 2007",Completed
1+,Anti-Meningitis C antibodies; C-C motif chemokine 2; C-C motif chemokine 3; C-C motif chemokine 4; Cytokines; IgG; Interferon gamma; Interferon-alpha; Interleukin-1 alpha; Interleukin-1 beta; Interleukin-10; Interleukin-12; Interleukin-13; Interleukin-2; Interleukin-6,Mycobacterium tuberculosis infection,null,Phase 4 Clinical,C4,NeisVac-C,10774,28,BCG; Infanrix; Menitorix; NeisVac-C; Pentacel; Prevnar 13; Priorix; Rotarix,28,BAM,A Study of the Interaction Between BCG And MenC Immunization,2013-003488-71; BAM; NCT02002156; OVG-2013/04; UKCRN 15722,University of Oxford,162886,"JUNE     , 20, 2014",Completed
1+,null,Mycobacterium tuberculosis infection,TMC-207; isoniazid; pyrazinamide,Phase 2a Clinical,C2A,bedaquiline,51310,60,TMC-207; isoniazid; pyrazinamide; rifampicin,60,null,"An Open-Label Study to Evaluate the Extended Early Bactericidal Activity, Safety, Tolerability and Pharmacokinetics of Multiple Doses (md) of TMC-207 Oral Solution (Os) and Isoniazid (JH), TMC-207 Os and Pyrazinamide (JZ), TMC-207 Os and Rifampin (JR) or TMC-207 Os and Isoniazid and Pyrazinamide (JHZ), Compared to the three Principle Drugs of Standard Anti-Tuberculosis Treatment (HRZ) in Treatment-Naive Subjects With Sputum-Smear Positive Pulmonary Tuberculosis",EudraCT 2004-005142-12; TMC207-C203,Janssen R&D (Ireland),131253,"JUNE     , 25, 2005",Recruiting
1,null,Mycobacterium tuberculosis infection,null,Phase 1/Phase 2 Clinical,C12,ritonavir,7310,20,indinavir; ritonavir,20,null,The Pharmacokinetics and Safety of indinavir/ritonavir With NRTIs in HIV/TB co-Infected Patients Receiving Rifampicin,HIV-NAT 044; NCT00411996,The HIV Netherlands Australia Thailand Research Collaboration,10871,"DECEMBER , 31, 2006",Completed
1+,null,Mycobacterium tuberculosis infection,null,Phase 2 Clinical,C2,moxifloxacin,12978,69,ethambutol; isoniazid; moxifloxacin; pyrazinamide; rifampicin,69,null,Essentiality of INH in TB Therapy,1U01AI068636; ACTG A5307; NCT01589497,AIDS Clinical Trials Group,87091,"JUNE     , 30, 2015",Completed
2,null,Mycobacterium tuberculosis infection,isoniazid; rifampicin,Phase 3 Clinical,C3,rifapentine,15102,1000,isoniazid; rifapentine,1004,TBTC-22,TBTC Study 22: Efficacy of Once-Weekly Rifapentine and Isoniazid in Treatment of Tuberculosis,CDC-NCHSTP-1427; NCT00023335; TBTC Study 22; TBTC-22,Centers for Disease Control and Prevention,10650,"APRIL    , 30, 1995",Completed
1+,null,Mycobacterium tuberculosis infection,null,Phase 1 Clinical,C1,stavudine,4481,44,lamivudine; nelfinavir mesylate; rifabutin; stavudine; zidovudine,44,null,Effectiveness of Anti-HIV Therapy (HAART) in HIV-Infected Patients With Tuberculosis,AACTG A5062; ACTG A5062; NCT00004736,National Institute of Allergy and Infectious Diseases,10646,"FEBRUARY , 25, 2000",Completed
1+,null,Mycobacterium tuberculosis infection,null,Phase 1 Clinical,C1,lamivudine,3474,44,lamivudine; nelfinavir mesylate; rifabutin; stavudine; zidovudine,44,null,Effectiveness of Anti-HIV Therapy (HAART) in HIV-Infected Patients With Tuberculosis,AACTG A5062; ACTG A5062; NCT00004736,National Institute of Allergy and Infectious Diseases,10646,"FEBRUARY , 25, 2000",Completed
1+,CD4 + cell,Mycobacterium tuberculosis infection,null,Phase not specified,NS,efavirenz,10172,63,"efavirenz; isoniazid; tenofovir disoproxil fumarate + emtricitabine (fixed dose), Gilead Sciences",63,null,Simultaneous Versus Sequential Antiretroviral Therapy (ARV) Therapy and Mycobacterium Tuberculosis (MTB) Treatment,C43-06; NCT00737724,Instituto Nacional de Enfermedades Respiratorias,169697,"MARCH    , 31, 2008",Terminated
4,CD4,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,stavudine,4481,142,efavirenz; nevirapine,145,N2R,Efavirenz-Based Versus Nevirapine-Based Antiretroviral Therapy Among HIV-Infected Patients Receiving Rifampin,210041000824904203; N2R; NCT00483054,Bamrasnaradura Infectious Diseases Institute,10947,"JANUARY  , 31, 2007",Completed
1,null,Mycobacterium tuberculosis infection,null,Phase 1 Clinical,C1,MVA-85A,55317,37,MVA-85A,37,null,"Study Evaluating Aerosol and Intradermal Administration of a Candidate Tuberculosis (TB) Vaccine, MVA-85A, as a Way to Increase Immune Response and Avoid Anti-Vector Immunity",13/SC/0329; 15209; 2013-002020-16; ISRCTN08234512; NCT01954563; TB035; UKCRN 15209,University of Oxford,156675,"OCTOBER  , 31, 2013",Completed
2,Lung,Mycobacterium tuberculosis infection,rifampin,Phase 2 Clinical,C2,rifapentine,15102,60,rifapentine,60,TBTC-29PK,"High-Dose Rifapentine Pharmacokinetics, Tolerability and Safety Dosage Rifapentine for Treatment of Tuberculosis",NCT01043575; TBTC Study 29PK; TBTC-29PK,Centers for Disease Control and Prevention,63261,"APRIL    , 30, 2009",Completed
2+,null,Mycobacterium tuberculosis infection,null,Phase 4 Clinical,C4,rifabutin,4229,10,abacavir; lamivudine; raltegravir,10,null,Raltegravir + ABC/3TC in HIV/TB Co-Infected Patients,NCT01059422; RAL/ABC/3TC - HIV/TB,Central Research Institute of Epidemiology,63729,"OCTOBER  , 31, 2010",Recruiting
1,Cytokines,Mycobacterium tuberculosis infection,null,Phase 0 Clinical,C0,"BCG vaccine, Organon",13624,10,TiceBCG,10,null,Leukapheresis Sampling for Immune Responses After BCG Vaccination in BCG-naive Healthy Adults in the US,A-046; NCT02413502,Aeras Global TB Vaccine Foundation,227341,"MAY      , 31, 2015",Completed
1,null,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,meloxicam,3610,200,meloxicam,200,null,TB-IRIS NSAID Cox-2 Inhibitor Prevention Trial,NCT02060006; PRO13060453,University of Stellenbosch,172626,"APRIL    , 30, 2014",Recruiting
1+,CD4+,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,lamivudine,3474,180,didanosine; efavirenz; efavirenz +  didanosine + lamivudine; ethambutol; ethambutol + isoniazid + rifampicin + pyrazinamide; isoniazid; isoniazid + rifampicin; lamivudine; nevirapine; nevirapine + didanosine + lamivudine; pyrazinamide; rifampicin,116,null,Safety and Efficacy of Two Once Daily Anti Retroviral Treatment Regimens Along With Anti-Tuberculosis Treatment,NCT00332306; trc23,Tuberculosis Research Centre,10863,"JUNE     , 30, 2006",Suspended
1,null,Mycobacterium tuberculosis infection,null,Phase 2 Clinical,C2,"MTB72F vaccine (tuberculosis), GSK/ IAVI",9490,181,GSK-692342,181,null,Safety and Immunogenicity Study of GSK Biologicals Tuberculosis Vaccines (692342) in Healthy Adults,110345; NCT00621322,GlaxoSmithKline plc,11263,"APRIL    , 30, 2008",Completed
2+,Hepatitis B large envelope protein; Hepatitis B virus external core antigen; T-Helper Lymphocytes; T-cell surface glycoprotein CD4,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,"tenofovir disoproxil fumarate + emtricitabine (fixed dose), Gilead Sciences",49219,2073,"efavirenz; isoniazid; lopinavir + ritonavir; tenofovir disoproxil fumarate + emtricitabine (fixed dose), Gilead Sciences",1107,TEMPRANO,Early Antiretroviral Treatment and/or Early Isoniazid Prophylaxis Against Tuberculosis in HIV-Infected Adults,ANRS 12136 TEMPRANO; NCT00495651; TEMPRANO,French National Agency for Research on AIDS and Viral Hepatitis,195741,"MARCH    , 31, 2008",Completed
1,Arylamine N-acetyltransferase 2; Solute carrier organic anion transporter family member 1B1,Mycobacterium tuberculosis infection,null,Phase 4 Clinical,C4,rifapentine,15102,null,isoniazid; rifapentine,null,null,Pharmacokinetics of rifapentine and isoniazid and NAT2 and SLCO1B1 polymorphisms in pediatric Thai patients with latent tuberculosis infection,TCTR20190423002,Chulalongkorn University,379095,"JUNE     , 01, 2019",Not yet recruiting
1+,null,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,rifapentine,15102,2516,ethambutol; isoniazid; moxifloxacin; pyrazinamide; pyridoxine; rifampin; rifapentine,2516,null,Rifapentine-containing Tuberculosis Treatment Shortening Regimens,6655; ACTG Study A5349; CTRI/2017/09/009772; NCT02410772; S31/A5349; TBTC Study 31,Centers for Disease Control and Prevention,226815,"JANUARY  , 25, 2016",No longer recruiting
1,null,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,rifapentine,15102,566,isoniazid; rifapentine,566,null,Efficacy of Weekly Rifapentine and Isoniazid for Tuberculosis Prevention,81373064; NCT02430259,Huashan Hospital,228560,"MARCH    , 31, 2015",Recruiting
1+,BMI; Complete blood count; Erythrocyte sedimentation rate; Fasting blood glucose; Height; Hemoglobin; Serum albumin; Serum uric acid; Total body mass; Weight,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,"lamivudine + zidovudine, GlaxoSmithKline",16696,135,"efavirenz; lamivudine + zidovudine, GlaxoSmithKline; nevirapine; rifampicin",135,"NVP",Efficacy and Safety of Concomitant Use of Nevirapine and Rifampicin With HIV-TB,"NVP"; NCT01805258; SKS/NACO-1/2006-07,All India Institute of Medical Sciences,114300,"JUNE     , 30, 2007",Completed
1+,Blood platelets; Cytochrome P450 2B6,Mycobacterium tuberculosis infection,null,Phase 1 Clinical,C1,"tenofovir disoproxil fumarate + emtricitabine (fixed dose), Gilead Sciences",49219,35,efavirenz; lamivudine+ zidovudine; rifampicin + isoniazid (Rifinah); tenofovir disoproxil fumarate + emtricitabine; tenofovir+ lamivudine,26,null,Pharmacokinetics of Efavirenz in the Presence of Rifampicin and Isoniazid,2014-002608-26; NCT02832778; SSAT062,St Stephens Aids Trust,265766,"OCTOBER  , 21, 2016",Recruiting
1+,null,Mycobacterium tuberculosis infection,ethambutol; isoniazid; pyrazinamide; rifampicin,Phase 2/Phase 3 Clinical,C23,rifapentine,15102,900,bedaquiline; clofazimine; ethambutol; isoniazid; levofloxacin; linezolid; pyrazinamide; rifampicin; rifapentine,900,TRUNCATE-TB,A 2 Month Regimens Using Novel Combinations to Augment Treatment Effectiveness for Drug-Sensitive Tuberculosis,2016-CT0376; NCT03474198; PHRR170327-001522; TRUNCATE-TB; TRUNCATE-TB,"Syneos Health Inc, University College London",333435,"MARCH    , 21, 2018",Recruiting
2+,4 beta-Hydroxycholesterol/Cholesterol ratio,Mycobacterium tuberculosis infection,Lamprene; ethambutol (Myambutol); isoniazid (Nydrazid); kanamycin (Kantrex); moxifloxacin; prothionamide (Peteha); pyrazinamide (Zinamide),Phase 3 Clinical,C3,levofloxacin,3492,530,Lamprene; Regimen A locally-used WHO-approved MDR-TB regimen; bedaquiline; ethambutol (Myambutol); isoniazid (Nydrazid); kanamycin (Kantrex); levofloxacin; moxifloxacin; prothionamide (Peteha); pyrazinamide (Zinamide),530,STREAM,The Evaluation of a Standard Treatment Regimen of Anti-Tuberculosis Drugs for Patients With MDR-TB,18148631; 78372190; 78372190/18148631 (Stage 1/2); CTRI/2017/09/009693; ISRCTN78372190; NCT02409290; STREAM,International Union Against Tuberculosis and Lung Diseases,228190,"APRIL    , 30, 2016",Recruiting
6+,Chemokines; Cytokines,Mycobacterium tuberculosis infection,null,Phase 2 Clinical,C2,moxifloxacin,12978,262,ethambutol; ethambutol; isonizaid; isonizaid; moxifloxacin; moxifloxacin; pyrazindamide; pyrazindamide; rifampicin; rifampicin,262,null,NexGen EBA Radiological and Immunological Biomarkers of Sterilizing Drug Activity in Tuberculosis,15-I-N070; 999915070; NCT02371681,National Institute of Allergy and Infectious Diseases,222933,"FEBRUARY , 25, 2015",Completed
2+,null,Mycobacterium tuberculosis infection,kanamycin; moxifloxacin,Phase 2/Phase 3 Clinical,C23,levofloxacin,3492,300,bedaqualine; ethionamide; isoniazid; levofloxacin; linezolid; pyrazinamide; terizidone,300,NEXT,An Open-label RCT to Evaluate a New Treatment Regimen for Patients With Multidrug-resistant Tuberculosis,NCT02454205; NEXT; NEXT-5001,University of Cape Town,230529,"OCTOBER  , 31, 2015",Recruiting
1,null,Mycobacterium tuberculosis infection,null,Phase 4 Clinical,C4,rifapentine,15102,1500,isoniazid; rifapentine,1500,null,"Latent Mycobacterium tuberculosis infection treatment among individuals with a history of prior tuberculosis: a randomized, controlled trial",ChiCTR1800018224,Chinese Academy of Medical Sciences & Peking Union Medical College,352729,"SEPTEMBER, 01, 2018",Recruiting
2+,null,Mycobacterium tuberculosis infection,ethambutol; isoniazid; pyrazinamide; rifampin,Phase 2 Clinical,C2,nitazoxanide,11089,30,ethambutol; isoniazid; nitazoxanide; pyrazinamide; rifampin,30,null,A 14-Day Early Bactericidal Activity Study of Nitazoxanide for the Treatment of Tuberculosis,NCT02684240; NZT001,Weill Medical College of Cornell University,253491,"FEBRUARY , 29, 2016",Completed
1,null,Mycobacterium tuberculosis infection,null,Phase 3 Clinical,C3,levofloxacin,3492,1556,levofloxacin,1556,TB-CHAMP trial,Tuberculosis child multidrug-resistant preventive therapy,ISRCTN92634082; MR/M007340/1; TB-CHAMP trial,University of Stellenbosch,259562,"JANUARY  , 01, 2016",No longer recruiting
1+,QT interval,Mycobacterium tuberculosis infection,null,Phase 2/Phase 3 Clinical,C23,moxifloxacin,12978,630,Lamprene; bedaquiline; linezolid; moxifloxacin; pretomanid,630,TB-PRACTECAL,Pragmatic Clinical Trial for a More Effective Concise and Less Toxic MDR-TB Treatment Regimen(s),1541; NCT02589782; TB-PRACTECAL,Medecins Sans Frontieres,244304,"JANUARY  , 31, 2017",Recruiting
4,null,Mycobacterium tuberculosis infection,null,Phase not specified,NS,didanosine,2935,592,didanosine; efavirenz; lamivudine; standard TB therapy,592,null,Effectiveness of Directly Observed Therapy in Combined HIV and Tuberculosis Treatment in Resource-Limited Settings,CAPRISA 001; CAPRISA START; CIPRA; NCT00091936; START,National Institute of Allergy and Infectious Diseases,8820,"AUGUST   , 31, 2009",Completed
3+,null,Mycobacterium tuberculosis infection,null,Phase not specified,NS,moxifloxacin,12978,null,clarithromycin; levofloxacin; moxifloxacin; moxifloxacin; rifabutin,null,null,The research of new regimen for multidrug-resistant tuberculosis treatment,ChiCTR-IOR-15007291,"Beijing Chest Hospital, Beijing Tuberculosis & Thoracic Tumor Research Institute, Capital Medical University",244777,"OCTOBER  , 01, 2008",No longer recruiting
